"Service URN","Service Name","Known as","Service Type","Service Sub-Type","Provision For","Service Address Line 1","Service Address Line 2","Service Address Line 3","Service Town/City","Service Postcode","Service Address UPRN","Local Authority","Other Service Address(es)","Domiciliary care area","Primary telephone number","Primary email address","Website","Main Operating Language of Service","Flying Start Provider","Registered to deliver childcare offer","Delivers early years part time education","Maximum No. of Places","Service Ratings","Provides care during","Term Time Sunday Opening Time","Term Time Sunday Closing Time","Term Time Sunday Overnight Care Provided","Term Time Monday Opening Time","Term Time Monday Closing Time","Term Time Monday Overnight Care Provided","Term Time Tuesday Opening Time","Term Time Tuesday Closing Time","Term Time Tuesday Overnight Care Provided","Term Time Wednesday Opening Time","Term Time Wednesday Closing Time","Term Time Wednesday Overnight Care Provided","Term Time Thursday Opening Time","Term Time Thursday Closing Time","Term Time Thursday Overnight Care Provided","Term Time Friday Opening Time","Term Time Friday Closing Time","Term Time Friday Overnight Care Provided","Term Time Saturday Opening Time","Term Time Saturday Closing Time","Term Time Saturday Overnight Care Provided","Holidays Sunday Opening Time","Holidays Sunday Closing Time","Holidays Sunday Overnight Care Provided","Holidays Monday Opening Time","Holidays Monday Closing Time","Holidays Monday Overnight Care Provided","Holidays Tuesday Opening Time","Holidays Tuesday Closing Time","Holidays Tuesday Overnight Care Provided","Holidays Wednesday Opening Time","Holidays Wednesday Closing Time","Holidays Wednesday Overnight Care Provided","Holidays Thursday Opening Time","Holidays Thursday Closing Time","Holidays Thursday Overnight Care Provided","Holidays Friday Opening Time","Holidays Friday Closing Time","Holidays Friday Overnight Care Provided","Holidays Saturday Opening Time","Holidays Saturday Closing Time","Holidays Saturday Overnight Care Provided","Responsible Individual Names","Registered Person Names","Standard Conditions","Imposed Conditions","Provider URN","Provider Name","Provider Address Line 1","Provider Address Line 2","Provider Address Line 3","Provider Town/City","Provider Postcode","Provider Address UPRN","Provider Type","Company Number","Charity Number","Provider Website","Provider Registration Date","Provider Conditions","Provider No. of Approved Services","Last Updated On"
"SIN-00008324-SWBJ","Little Cherubs Day Nursery","","Childrens Day Care","Full Day Care","","Old Calfaria Chapel","949 Carmarthen Road","Fforestfach","Swansea","SA5 4AD","10010033333","Swansea","","","01792510273","littlecherubs2018@hotmail.com","littlecherubs-swansea.co.uk","English","Yes","Yes","No","39","Care and Development: Good; Environment: Good; Leadership and Management: Good; Well-being: Good","Term Time and Holidays","","","","06:30","18:00","No","06:30","18:00","No","06:30","18:00","No","06:30","18:00","No","06:30","18:00","No","","","","","","","06:30","18:00","No","06:30","18:00","No","06:30","18:00","No","06:30","18:00","No","06:30","18:00","No","","","","","Natalie Dyment-Jones","The maximum number of children to be cared for at any time must not exceed 39.","","","","","","","","","","","","","","","","","14/08/2025 18:48"
"SIN-00012182-VBRC","Little Chicks Nursery Plus","","Childrens Day Care","Sessional Day Care","","Gwersyllt Community Primary School","Dodds Lane","Gwersyllt","Wrexham","LL11 4NT","200002943792","Wrexham","","","07352 103070","Littlechicksnurseryplus@outlook.com","www.littlechicksnurseryplus.com","English","No","Yes","No","32","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","11:20","14:50","No","11:20","14:50","No","11:20","14:50","No","11:20","14:50","No","11:20","14:50","No","","","","","","","","","","","","","","","","","","","","","","","","","Bethan Wright,Claire Harrison","","The responsible individual for this service is Bethan Lesley Wright; The responsible individual for this service is Claire Michelle Harrison; The maximum number of children to be looked after at any time must not exceed 32.","","SPROV-00005213-GNQH","Little Chicks Nursery Plus","Gwersyllt Community Primary School","Dodds Lane","Gwersyllt","Wrexham","LL11 4NT","200002943792","Charitable Incorporated Organisation","","1187967","","28/05/2021","","1","15/07/2026 04:36"
"SIN-00003167","Little Chums Day Nursery","","Childrens Day Care","Full Day Care","","Court Farm","","Llanvihangel","Pontypool","NP4 0JB","10013474517","Torfaen","","","01495 767 878","enquiries@littlechums.co.uk","https://www.littlechums.co.uk","English","Yes","Yes","No","83","","Term Time and Holidays","","","","07:45","17:45","No","07:45","17:45","No","07:45","17:45","No","07:45","17:45","No","07:45","17:45","No","","","","","","","07:45","17:45","No","07:45","17:45","No","07:45","17:45","No","07:45","17:45","No","07:45","17:45","No","","","","Sarah Jordan","","The responsible individual for this service is Sarah Jordan; The maximum number of children to be looked after at any time must not exceed 83.","","SPROV-00002407-VYVR","Little Chums Day Nurseries Ltd","Little Chums Nursery","Llanvihangel","","Pontypool","NP4 0JB","10013478439","Limited Company","06155138","","","01/08/2007","","1","28/07/2026 12:26"
"SIN-00014795-QGFB","Little Cross","","Care Home Service","Childrens Home","Personal care for children, Learning disability, Mental health","","","","Usk","","","Monmouthshire","","","01291497975","Kirsty.aitken@nurtureone.co.uk","","English","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kirsteen Aitken","","A maximum of 2 individuals can be accommodated at this service.; The responsible individual for this service is KIRSTEEN Aitken","","SPROV-00006209-WTBS","Nurture One UK Ltd","Unit 49 Morris Park ","37 Rosyth Road ","","Polmadie ","G5 0YE","","Limited Company","14622977","","www.nurtureone.co.uk","22/07/2025","","1","03/10/2025 15:12"
"SIN-00015847-NHTC","Little Deer's Day Nursery Limited","","Childrens Day Care","Full Day Care","","Station Buildings","Treborth","Bangor","Gwynedd, Wales","LL57 2NX","10070344279","Gwynedd","","","01248371242","busybsdaynursery@outlook.com","https://www.busybsbangor.com","","No","Yes","No","43","","Term Time and Holidays","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","Abigail Calder","","The maximum number of children to be cared for at any time must not exceed 43.; The responsible individual for this service is Abigail Elizabeth Calder","","SPROV-00006624-NKMJ","Little Deers Day Nursery Limited","Station Buildings","Treborth","Bangor","Gwynedd, Wales","LL57 2NX","","Limited Company","16585541","","www.littledeersdaynursery.co.uk","09/03/2026","","1","15/05/2026 09:08"
"SIN-00014635-CRVY","Little Disciples Nursery Plus","","Childrens Day Care","Sessional Day Care","","St. John The Baptist V A School","Chester Road Penymynydd","","Chester","CH4 0EN","10013703912","Flintshire","","","01244 478920","office@littlediscipleschildcare.org","","English","No","Yes","No","15","","Term Time only","","","","11:25","15:00","No","11:25","15:00","No","11:25","15:00","No","11:25","15:00","No","11:25","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Anna Stephens,Samuel Gocher","","The maximum number of children to be cared for at any time must not exceed 15.; The responsible individual for this service is Anna Stephens; The responsible individual for this service is Samuel Mark Gocher","","SPROV-00005415-BPXC","Little Disciples Childcare","St. John The Baptist V A School","Chester Road Penymynydd","","Chester","CH4 0EN","10013703912","Charitable Incorporated Organisation","","1194380","http://www.stjohnsflintshire.org/","01/07/2021","","2","08/03/2026 13:42"
"SIN-00012611-MLVX","Little Disciples Out of School & Holiday Club","","Childrens Day Care","Out of School Care","","St. John The Baptist V A School","Chester Road Penymynydd","","Chester","CH4 0EN","10013703912","Flintshire","","","01244478920","office@littlediscipleschildcare.org","","English","No","Yes","No","38","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time and Holidays","","","","07:50","18:00","No","07:50","18:00","No","07:50","18:00","No","07:50","18:00","No","07:50","18:00","No","","","","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","","","","Anna Stephens,Samuel Gocher","","The maximum number of children to be cared for at any time must not exceed 38.; The responsible individual for this service is Anna Stephens; The responsible individual for this service is Samuel Mark Gocher","","SPROV-00005415-BPXC","Little Disciples Childcare","St. John The Baptist V A School","Chester Road Penymynydd","","Chester","CH4 0EN","10013703912","Charitable Incorporated Organisation","","1194380","http://www.stjohnsflintshire.org/","01/07/2021","","1","23/10/2025 12:24"
"SIN-00014951-BYYY","Little Dragons’ Den","","Childrens Day Care","Full Day Care","","Ysgol Maes-y-llan Cp School","Maes Y Llan Lane Ruabon","","Wrexham","LL14 6AE","10070387540","Wrexham","","","01978820991","mailbox@maesyllan-pri.wrexham.sch.uk","https://maesyllan-pri.wrexham.sch.uk/","English","Yes","Yes","No","30","","Term Time only","","","","09:00","17:15","No","09:00","17:15","No","09:00","17:15","No","09:00","17:15","No","09:00","17:15","No","","","","","","","","","","","","","","","","","","","","","","","","","Bethan Rolls","","The maximum number of children to be cared for at any time must not exceed 30.; The responsible individual for this service is Bethan Clare Rolls","","SPROV-00006269-XTWN","Little Dragons' Den","Ysgol Maes-y-llan Cp School","Maes Y Llan Lane Ruabon","","Wrexham","LL14 6AE","10070387540","Charitable Incorporated Organisation","","1208411","maesyllan-pri.wrexham.sch.uk","01/09/2024","","1","01/09/2025 04:35"
"SIN-00015542-SHQH","Little Dreamers Day Nursery Limited","","Childrens Day Care","Full Day Care","","Old School Village Hall","Pontardulais Road","Penllergaer","Swansea","SA4 9AY","100100408206","Swansea","","","","","","English","No","Yes","No","29","","Term Time and Holidays","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","Rachel Davey","","The maximum number of children to be cared for at any time must not exceed 29.; The responsible individual for this service is Rachel Marie Davey","","SPROV-00006500-FGGH","Little Dreamers Swansea Limited","Old School Village Hall","Pontardulais Road","Penllergaer","Swansea","SA4 9AY","","Limited Company","16264009","","","24/07/2025","","1","24/07/2025 17:22"
"SIN-00006908","Little Ducklings Playgroup Garnteg","","Childrens Day Care","Sessional Day Care","","Garnteg Primary School","Hillcrest Garndiffaith","","Pontypool","NP4 7SJ","10013477576","Torfaen","","","01633647940","siobhan.carroll@torfaen.gov.uk","","English","Yes","No","No","20","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time only","","","","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","09:15","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Siobhan Carroll","","The maximum number of children to be cared for at any time must not exceed 20.; The responsible individual for this service is Siobhan Lorna Carroll","","SPROV-00002458-NSXJ","Torfaen County Borough Council Child Care and Play Services","The Civic Centre","","","Pontypool","NP4 6YB","100101048589","Local Authority","","","","10/04/2008","","2","31/03/2026 12:06"
"SIN-00003055","Little Einstein`s Day Care Limited","","Childrens Day Care","Full Day Care","","Westbury House","Dixton Road","","Monmouth","NP25 3PR","10033340246","Monmouthshire","","","01600772220","yourchildsfuture@aol.com","littleeinsteinsdaycaremonmouth.co.uk","English","Yes","Yes","No","50","","Term Time and Holidays","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","Rebecca Edwards-Mills","","The responsible individual for this service is Rebecca Anne Edwards-Mills; The maximum number of children to be looked after at any time must not exceed 50.","","SPROV-00002364-BXXK","Little Einstein`s Day Care Limited","Westbury House","New Dixton Road","","Monmouth","NP25 3PR","10033340246","Limited Company","05821780","","","17/11/2006","","1","01/05/2025 18:17"
"SIN-00006553","Little Einsteins Academy Limited","","Childrens Day Care","Full Day Care","","Britannia Enterprise Centre","Britannia","Pengam","Blackwood","NP12 3SP","43168527","Caerphilly","","","01443879750","ian@littleeinsteinsacademy.com","www.littleeinsteinsacademy.com","English","Yes","Yes","Yes","49","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","07:30","18:30","No","07:30","18:30","No","07:30","18:30","No","07:30","18:30","No","07:30","18:30","No","","","","","","","07:30","18:30","No","07:30","18:30","No","07:30","18:30","No","07:30","18:30","No","07:30","18:30","No","","","","Ian Bray","","The responsible individual for this service is Ian Bray; The maximum number of children to be cared for at any time must not exceed 49.","","SPROV-00003763-FJWL","Little Einsteins Academy Limited","8 Lon Pennant","","Cwm Gelli","Blackwood","NP12 1EL","","Limited Company","08829481","","","11/12/2014","","2","06/05/2026 16:44"
"SIN-00015503-YCFD","Little Einsteins Academy Limited - New Tredegar","","Childrens Day Care","Full Day Care","","White Rose Primary School","School Street Elliots Town","","New Tredegar","NP24 6DW","43164750","Caerphilly","","","01443828069","stacy@littleeinsteinsacademy.com","","English","Yes","Yes","Yes","30","","Term Time only","","","","08:30","17:30","No","08:30","17:30","No","08:30","17:30","No","08:30","17:30","No","08:30","17:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Ian Bray","","The maximum number of children to be cared for at any time must not exceed 30.; The responsible individual for this service is Ian Bray","","SPROV-00003763-FJWL","Little Einsteins Academy Limited","8 Lon Pennant","","Cwm Gelli","Blackwood","NP12 1EL","","Limited Company","08829481","","","11/12/2014","","1","21/03/2026 14:46"
"SIN-00015718-JGRS","Little Explorers","","Childrens Day Care","Full Day Care","","Llanedeyrn Primary School","Wellwood Llanedeyrn","","Cardiff","CF23 9JN","100101043793","Cardiff","","","07990323348","littleexplorerscardiff@outlook.com","","English","No","Yes","No","40","","Term Time and Holidays","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","","","","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","","","","Laura Marlow","","The maximum number of children to be cared for at any time must not exceed 40.; The responsible individual for this service is Laura Elizabeth Marlow","","SPROV-00004929-PHJS","Little Explorers in the Park Ltd","49 St. Gowan Avenue","","","Cardiff","CF14 4JX","100100035380","Not Applicable","12397986","","","03/02/2020","","1","25/02/2026 11:56"
"SIN-00013117-FYJM","Little Explorers","","Childrens Day Care","Full Day Care","","16a Maryport Street","","","Usk","NP15 1AB","100100968179","Monmouthshire","","","07966180494","","littleexplorersusk.co.uk","English","Yes","Yes","Yes","19","Well-being: Excellent; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","08:30","15:00","No","08:30","15:00","No","08:30","15:00","No","08:30","15:00","No","08:30","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Kathryn O'Neil,Gaynor Rea","","The maximum number of children to be cared for at any time must not exceed 19.; The responsible individual for this service is Gaynor Barbara Rea; The responsible individual for this service is Kathryn Abigail O'Neil","","SPROV-00005632-LVSW","Little Explorers Nursery","Little Explorers Nursery","16a","Maryport Street","Usk","NP15 1AB","100100968179","Other Unincorporated Body","","","https://littleexplorersusk.co.uk/","10/08/2022","","1","22/05/2026 11:00"
"SIN-00011680-RSWW","Little Explorers at the Park","","Childrens Day Care","Full Day Care","","Llwynfedw Gardens Park","Llwynfedw Gardens","Heath","Cardiff","CF14 4NW","10013081268","Cardiff","","","07760391925","Littleexplorerscardiff@outlook.com","www.littleexplorerscardiff.co.uk","English","No","Yes","No","40","Care and Development: Good; Environment: Adequate; Leadership and Management: Good; Well-being: Good","Term Time and Holidays","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","","","","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","","","","Laura Marlow","","The maximum number of children to be looked after at any time must not exceed 40.; The responsible individual for this service is Laura Marlow","","SPROV-00004929-PHJS","Little Explorers in the Park Ltd","49 St. Gowan Avenue","","","Cardiff","CF14 4JX","100100035380","Not Applicable","12397986","","","03/02/2020","","2","04/09/2025 16:38"
"SIN-00013329-RGVQ","Little Explorers Pre-school","","Childrens Day Care","Full Day Care","","Tots Corner","13 Dyserth Road","","Rhyl","LL18 4DW","100100197554","Denbighshire","","","01745 334211","littleexplorerspre-school@outlook.com","","English","Yes","Yes","No","43","Well-being: Good; Care and Development: Adequate; Environment: Adequate; Leadership and Management: Adequate","Term Time and Holidays","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","","","","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","07:30","18:00","No","","","","Rachel Owen","","The maximum number of children to be cared for at any time must not exceed 43.; The responsible individual for this service is Rachel Joanne Owen","","SPROV-00005708-MDPS","Early Learners Ltd","Ty Melyn, Ty Melyn, 1 Cae'r Ysgol, ","Llangernyw ","","Conwy ","LL22 8PP","","Limited Company","10525127","","","28/09/2022","","1","15/03/2026 11:54"
"SIN-00011577-XNYJ","Little Ferns Cwmbach","","Childrens Day Care","Full Day Care","","Cwmbach Church In Wales Primary School","Crown Row","","Aberdare","CF44 0AT","200002936842","Rhondda Cynon Taf","","","07494433978","km.saunders@fernpartnership.co.uk","www.fernpartnership.co.uk","English","Yes","Yes","No","20","Well-being: Good; Care and Development: Excellent; Environment: Good; Leadership and Management: Good","Term Time only","","","","09:15","15:15","No","09:15","15:15","No","09:15","15:15","No","09:15","15:15","No","09:15","15:15","No","","","","","","","","","","","","","","","","","","","","","","","","","Sian Edwards","","The responsible individual for this service is Sian Elizabeth Edwards; The maximum number of children to be looked after at any time must not exceed 20.","","SPROV-00004479-GJGH","The Fern Partnership","Ferndale Hwb ","North Road ","","Ferndale ","CF434PS","","Charitable Company","10156361","1168892","","23/07/2018","","2","13/02/2026 04:44"
"SIN-00008551-DWTW","Little Ferns Cwmparc","","Childrens Day Care","Full Day Care","","Parc Primary School","Tallis Street","","Treorchy","CF42 6LY","100101050960","Rhondda Cynon Taf","","","01443776601","S.edwards@fernpartnership.co.uk","","English","Yes","Yes","No","20","Well-being: Excellent; Care and Development: Excellent; Environment: Good; Leadership and Management: Excellent","Term Time only","","","","08:45","14:45","No","08:45","14:45","No","08:45","14:45","No","08:45","14:45","No","08:45","14:45","No","","","","","","","","","","","","","","","","","","","","","","","","","Sian Edwards","","The responsible individual for this service is Sian Elizabeth Edwards; The maximum number of children to be looked after at any time must not exceed 20.","","SPROV-00004479-GJGH","The Fern Partnership","Ferndale Hwb ","North Road ","","Ferndale ","CF434PS","","Charitable Company","10156361","1168892","","23/07/2018","","5","22/06/2026 11:38"
"SIN-00010874-JPTY","Little Ferns Day Nursery Ferndale","","Childrens Day Care","Full Day Care","","Former Ferndale Infant School","North Road","","Ferndale","CF43 4PS","10094100184","Rhondda Cynon Taf","","","01443570021","s.edwards@fernpartnership.co.uk","","English","Yes","Yes","No","42","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time and Holidays","","","","08:00","17:00","No","08:00","17:00","No","08:00","17:00","No","08:00","17:00","No","08:00","17:00","No","","","","","","","08:00","17:00","No","08:00","17:00","No","08:00","17:00","No","08:00","17:00","No","08:00","17:00","No","","","","Sian Edwards","","The responsible individual for this service is Sian Elizabeth Edwards; The maximum number of children to be looked after at any time must not exceed 42.","","SPROV-00004479-GJGH","The Fern Partnership","Ferndale Hwb ","North Road ","","Ferndale ","CF434PS","","Charitable Company","10156361","1168892","","23/07/2018","","4","13/02/2026 04:44"
"SIN-00009775-NGCN","Little Ferns Glenboi","","Childrens Day Care","Full Day Care","","Glenboi Community Primary School","Abercwmboi Isaf Road","","Mountain Ash","CF45 3DW","100101049721","Rhondda Cynon Taf","","","01443570021","s.edwards@fernpartnership.co.uk","www.fernpartnership.co.uk","English","Yes","Yes","No","20","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time only","","","","09:00","14:30","No","09:00","14:30","No","09:00","14:30","No","09:00","14:30","No","09:00","14:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Sian Edwards","","The maximum number of children to be looked after at any time must not exceed 20.; The responsible individual for this service is Sian Elizabeth Edwards","","SPROV-00004479-GJGH","The Fern Partnership","Ferndale Hwb ","North Road ","","Ferndale ","CF434PS","","Charitable Company","10156361","1168892","","23/07/2018","","3","13/02/2026 04:44"
"SIN-00008565-FNFV","Little Ferns Maerdy","","Childrens Day Care","Sessional Day Care","","Ferndale Community School","Excelsior Terrace","","Ferndale","CF43 4AR","200003759436","Rhondda Cynon Taf","","","01443735984","s.edwards@fernpartnership.co.uk","","English","Yes","Yes","No","28","","Term Time only","","","","09:15","14:30","No","09:15","14:30","No","09:15","14:30","No","09:15","14:30","No","09:15","14:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Sian Edwards","","The maximum number of children to be looked after at any time must not exceed 28.; The responsible individual for this service is Sian Elizabeth Edwards","","SPROV-00004479-GJGH","The Fern Partnership","Ferndale Hwb ","North Road ","","Ferndale ","CF434PS","","Charitable Company","10156361","1168892","","23/07/2018","","6","13/02/2026 04:44"
"SIN-00013959-JWMP","Little Ferns Tylorstown","","Childrens Day Care","Full Day Care","","Edmondes Street","Tylorstown","","Ferndale","CF43 3HH","200001679830","Rhondda Cynon Taf","","","01443730820","info@fernpartnership.co.uk","","English","Yes","Yes","No","26","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time only","","","","09:00","14:30","No","09:00","14:30","No","09:00","14:30","No","09:00","14:30","No","09:00","14:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Sian Edwards","","The maximum number of children to be cared for at any time must not exceed 26.; The responsible individual for this service is Sian Elizabeth Edwards","","SPROV-00004479-GJGH","The Fern Partnership","Ferndale Hwb ","North Road ","","Ferndale ","CF434PS","","Charitable Company","10156361","1168892","","23/07/2018","","1","23/06/2026 19:26"
"SIN-00007547","Little Footprints Playgroup","","Childrens Day Care","Full Day Care","","Whitchurch Primary School","Erw Las","","Cardiff","CF14 1NL","100101042162","Cardiff","","","07989650295","littlefootprints@hotmail.co.uk","","English","Yes","Yes","No","20","","Term Time and Holidays","","","","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","","","","","","","08:00","16:00","No","08:00","16:00","No","08:00","16:00","No","","","","","","","","","","","Katherine Morgan","The maximum number of children to be cared for at any time must not exceed 20.","","","","","","","","","","","","","","","","","19/09/2025 13:42"
"SIN-00006713","Little Footsteps nursery at Blakedown house","","Childrens Day Care","Full Day Care","","Heol Mostyn","Village Farm Industrial Estate","Pyle","Bridgend","CF33 6BJ","10090051645","Bridgend","","","01656 740954","littlefootstepsnursery@hotmail.com","www.littlefootstepsnursery.co.uk","English","Yes","Yes","Yes","75","Care and Development: Good; Environment: Good; Leadership and Management: Excellent; Well-being: Good","Term Time and Holidays","","","","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","","","","","","","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","07:00","18:00","No","","","","Corinne Coulter,Stacey Barker-Platt","","The responsible individual for this service is Corinne Coulter; The responsible individual for this service is Stacey Barker-Platt; The maximum number of children to be cared for at any time must not exceed 75.","","SPROV-00003824-NTTH","Little Footsteps (Porthcawl) Ltd","Blakedown House","Heol Mostyn","Village Farm Industrial Estate","Pyle, Bridgend","CF33 6BJ","10090051645","Limited Company","08939363","","","12/05/2015","","1","03/06/2025 13:20"
"SIN-00012070-XKCK","Little Friends Nursery","","Childrens Day Care","Full Day Care","","Ffynnon Taf Primary School","Cardiff Road","","Taffs Well","CF15 7PR","10094102122","Rhondda Cynon Taf","","","07825163605","littlefriends123@hotmail.com","littlefriends-nursery.co.uk","","Yes","Yes","Yes","30","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time and Holidays","","","","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","","","","","","","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","08:00","18:00","No","","","","Alison Jones","","The maximum number of children to be cared for at any time must not exceed 30 .; The responsible individual for this service is Alison Jane Jones","","SPROV-00004931-YCBS","LITTLE FRIENDS CHILDCARE LTD","13 Garth Street","Taffs Well","","Cardiff","CF15 7PJ","100100765027","Limited Company","12048316","","www.littlefriends-nursery.co.uk","16/04/2020","","1","01/05/2025 17:48"
"SIN-00015672-LWTF","Little Gems","","Childrens Day Care","Full Day Care","","Durand Junior & Infants School","Alianore Road","","Caldicot","NP26 5DF","10033346416","Monmouthshire","","","07368263579","k.goremdn@gmail.com","","English","No","Yes","Yes","40","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time only","","","","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","09:00","15:00","No","","","","","","","","","","","","","","","","","","","","","","","","","Kane Gore","","The maximum number of children to be looked after at any time must not exceed 40.; The responsible individual for this service is Kane Gore","","SPROV-00004087-WLDQ","Monmouth Day Nursery Limited","Monmouth Day Nursery","The Store House","Howells Place","Monmouth","NP25 3ED","10033339701","Limited Company","10025894","","","12/07/2016","","2","23/07/2026 13:00"
"SIN-00005759","Little Gems at Flying Start - Sea View","","Childrens Day Care","Sessional Day Care","","Seaview Community Primary School","Creidiol Road","Mayhill","Swansea","SA1 6TZ","10010030026","Swansea","","","01792468805","CLAIRE.MORGAN4@SWANSEA.GOV.UK","n/a","English","Yes","No","No","38","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time and Holidays","","","","08:00","16:30","No","08:00","16:30","No","08:00","16:30","No","08:00","16:30","No","08:00","16:30","No","","","","","","","08:00","16:30","No","08:00","16:30","No","08:00","16:30","No","08:00","16:30","No","08:00","16:30","No","","","","David Tiltman,Claire Morgan","","The responsible individual for this service is Claire Morgan; The maximum number of children to be cared for at any time must not exceed 38.; The responsible individual for this service is David Glyn Tiltman","","SPROV-00003302-MRYV","City and County of Swansea Child Care and Play Services","Swansea Children's Centre, Education Dept","County Hall","Oystermouth Road","Swansea","SA1 3SN","100100986761","Local Authority","","","","11/07/2007","","11","12/05/2026 13:50"
"SIN-00005695","Little Gems at Flying Start - Townhill","","Childrens Day Care","Sessional Day Care","","Townhill Community School","Townhill Road","Townhill","Swansea","SA1 6PT","10010024646","Swansea","","","01792 469580","","","English","Yes","No","No","25","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time and Holidays","","","","08:30","16:00","No","08:30","16:00","No","08:30","16:00","No","08:30","16:00","No","08:30","16:00","No","","","","","","","08:30","16:00","No","08:30","16:00","No","08:30","16:00","No","08:30","16:00","No","08:30","16:00","No","","","","Peter Owen","","The maximum number of children to be cared for at any time must not exceed 25.; The responsible individual for this service is Peter George Owen","","SPROV-00003302-MRYV","City and County of Swansea Child Care and Play Services","Swansea Children's Centre, Education Dept","County Hall","Oystermouth Road","Swansea","SA1 3SN","100100986761","Local Authority","","","","11/07/2007","","10","07/07/2026 08:28"
"SIN-00010531-LXWM","Little Haven Nursery","","Childrens Day Care","Full Day Care","","Rhydlafar Drive","St. Fagans","","Cardiff","CF5 6HH","10094244526","Cardiff","","","02920891825","fiona@parachuteschildcare.co.uk","www.littlehavennursery.co.uk","English","No","Yes","No","36","Well-being: Good; Care and Development: Good; Environment: Good; Leadership and Management: Adequate","Term Time and Holidays","","","","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","","","","","","","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","","","","Fiona Williams","","The maximum number of children to be cared for at any time must not exceed 36.; The responsible individual for this service is Fiona Rachel Williams","","SPROV-00002797-YTYN","Parachutes Childcare Ltd","4 Oakmead Road","Llanharan","","Pontyclun","CF72 9FB","10012773205","Limited Company","07541553","","","15/08/2011","","1","01/05/2025 18:07"
