Service Name,Service Type,Service Sub-Type,Provision For,Service Address Line 1,Service Address Line 2,Service Town/City,Service Postcode,Local Authority,Maximum No. of Places,Primary telephone number,Primary email address,Website,Provider Name,Provider No. of Approved Services
Martello House,Care Home Service,Adults Without Nursing,Personal care for adults,Martello House,Fort Road,Pembroke Dock,SA72 6SX,Pembrokeshire,8,01646 624600,martellohousereablement@pembrokeshire.gov.uk,,Pembrokeshire County Council Adults and Children's Services,1
Meadowlands,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Meadowlands Care Home,Abernant Road,Aberdare,CF44 0PY,Rhondda Cynon Taf,52,01685879292,Meadowlands.Manager@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,7
Meadows View,Care Home Service,Childrens Home,Personal care for children,,,Bridgend ,,Bridgend,7,01656 815666,Melanie.Thomas1@bridgend.gov.uk,www.bridgend.gov.uk,Bridgend County Borough Council Adults and Children's Services,2
Medra Gofal y Graig,Childrens Day Care,Full Day Care,,Ysgol Y Graig,Ffordd Y Coleg Lon Talwrn,Llangefni,LL77 7LP,Isle of Anglesey,60,01248725825,post@meithrinfamedra.co.uk,,Meithrinfeydd Cymru Cyfyngedig,1
Meithrinfa Babinogion Day Nursery,Childrens Day Care,Full Day Care,,Cae Llenor,Wellington Terrace,Caernarfon,LL55 2HH,Gwynedd,54,01286672052,babinogiondaynursery@hotmail.co.uk,www.babinogion.co.uk,,
Meithrinfa Bach Hapus Nursery,Childrens Day Care,Full Day Care,,Borthwen,Ffordd Penmynydd,Llanfairpwllgwyngyll,LL61 5JH,Isle of Anglesey,34,01248716191,meithrinfabachhapus@hotmail.co.uk,,,
Meithrinfa Caban Baban Day Nursery,Childrens Day Care,Full Day Care,,Meithrinfa Caban Baban Day Nursery,Madyn Road,Amlwch,LL68 9EW,Isle of Anglesey,32,01407 830026,caban.baban@gmail.com,,,
Meithrinfa Camau Bach (Aberystwyth),Childrens Day Care,Full Day Care,,Canolfan Integredig a Hyfforddiant,Boulevard De St Brieuc,Aberystwyth,SY23 1PD,Ceredigion,85,01970639655,post@camaubach.co.uk,https://meithrin.cymru/,Meithrinfeydd Cymru Cyfyngedig,2
Meithrinfa Cwtsh Cynnes,Childrens Day Care,Full Day Care,,15 Caerbryn Road,,Llanelli,SA14 7PH,Carmarthenshire,28,01269831571,michelle.cwtshcynnes@aol.com,www.cwtshcynnes.co.uk,,
Meithrinfa Ddydd y Waun,Childrens Day Care,Full Day Care,,Y G G Y Waun,New Road,Ammanford,SA18 1UN,Neath Port Talbot,19,07511425833,aligriffiths10@hotmail.com,aligriffiths10hotmail.com,,
Meithrinfa Medra,Childrens Day Care,Full Day Care,,Canolfan Plant,Ffordd Coleg,Llangefni,LL77 7LP,Isle of Anglesey,119,01248725825,post@meithrinfamedra.co.uk,www.meithrin.cymru/medra-cy,Meithrinfeydd Cymru Cyfyngedig,4
Meithrinfa Plas Pawb,Childrens Day Care,Full Day Care,,Canolfan Intergredig Plas Pawb,Safle Ysgol Maesincla,Caernarfon,LL55 1DF,Gwynedd,52,01286 678824,meithrinfaplaspawb@gwynedd.llyw.cymru,,Gwynedd Council Child Care and Play Services,1
Meithrinfa Playdays,Childrens Day Care,Full Day Care,,Y Frenni,Intergrated Children's Centre,Crymych,SA41 3QH,Pembrokeshire,45,01239832073,playdays-crymych@outlook.com,www.playdayscrymych.co.uk,,
Meithrinfa Trysor Bach,Childrens Day Care,Sessional Day Care,,Betws County Primary School,32 Betws Road,Ammanford,SA18 2HE,Carmarthenshire,12,01554742447,,,Carmarthenshire County Council Child Care and Play Services,5
Meithrinfa Ysgolheigion Bach   Little Scholars' Nursery,Childrens Day Care,Full Day Care,,Ysgol Caergeiliog Foundation School,Lon Bach,Caergeiliog,LL65 3NP,Isle of Anglesey,57,01407740619,lindsearoberts@ycfs.cymru,www.ysgolcaergeiliog.cymru,,
Meithrinfa`r Enfys,Childrens Day Care,Full Day Care,,Yr Hen Ysgol,Cross Inn,Llanon,SY23 5NE,Ceredigion,33,01974272022,meithrinfa.enfys@gmail.com,,,
Mere Path,Care Home Service,Childrens Home,Personal care for children,,,Cwmbran,,Torfaen,2,01633971140,leah.shephard@midwayts.com,,Midway Transitional Solutions Ltd,6
Merton Place,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Merton Place Nursing Home,8 Pwllycrochan Avenue,Colwyn Bay,LL29 7BU,Conwy,54,01492 523375,Merton.Place@fairways.org.uk,www.fairways.org.uk,Fairways Care Ltd,3
Mes Bach Pre School,Childrens Day Care,Full Day Care,,Llangors Church in Wales School,Llangorse,Brecon,LD3 7TR,Powys,32,01874658663,office@llangorse.powys.school.uk,llangorseschool.wales,Powys County Council Child Care and Play Services,22
Mesen Fach,Care Home Service,Childrens Home,Personal care for children,,,Mold,,Flintshire,1,07387127794,abigail.pattullo@flintshire.gov.uk,,Flintshire County Council Adults and Children's Services,5
Milford House ,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Milford House Centre,Dartmouth Street,Milford Haven,SA73 2AH,Pembrokeshire,8,01646698197,milford.house@pembrokeshire.gov.uk,,Pembrokeshire County Council Adults and Children's Services,5
Mill Barn,Care Home Service,Childrens Home,Personal care for children,,,Caldicot,,Newport,2,01633 210467,Amy.Saunders@newport.gov.uk,www.newport.gov.uk,Newport City Council Adults and Children's Services,1
Min y Grug,Care Home Service,Childrens Home,Personal care for children,,,Wrexham,,Denbighshire,3,01978790513,manager.minygrug@keys-group.co.uk,,Keys Young People Limited,6
Min y Mor Residential Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Minymor Residential Home,Wellington Gardens,Aberaeron,SA46 0BQ,Ceredigion,28,01545570514,minymor@ceredigion.gov.uk,www.ceredigion.gov.uk,Ceredigion County Council Adults and Children's Services,7
Min-y-Mynydd,Care Home Service,Adults Without Nursing,Personal care for adults,Min-y-mynydd Resource Centre,Eglwys Fan Rhymney,Tredegar,NP22 5QA,Caerphilly,26,01685840595,moselh@caerphilly.gov.uk,www.caerphilly.gov.uk,Caerphilly County Borough Council Adults and Children's Services,10
Minera Kidz Club,Childrens Day Care,Out of School Care,,Minera Primary School,Minera Hall Road Minera,Wrexham,LL11 3YE,Wrexham,30,01978269500,minerakidzklub@gmail.com,,,
Mini World Day Nursery,Childrens Day Care,Full Day Care,,Mini World,Maes y Llan Lane,Ruabon,LL14 6AD,Wrexham,26,01978810587,miniworld2@aol.com,,,
Miri Mawr Holiday Club,Childrens Day Care,Out of School Care,,Bryn Mair Farm,Bryn Mair,Ruthin,LL15 2EF,Denbighshire,21,01824704155,mirimeithrin@tiscali.co.uk,,,
Miri Meithrin (Llysfasi),Childrens Day Care,Full Day Care,,Bryn Mair Farm,Bryn Mair,Ruthin,LL15 2EF,Denbighshire,27,01824704155,mirimeithrin@tiscali.co.uk,,,
Miri Meithrin (Pwllglas) Welsh Day Nursery,Childrens Day Care,Full Day Care,,Gronant,,Ruthin,LL15 2PH,Denbighshire,22,01824702542,mirimeithrin@tiscali.co.uk,,,
Miri Melyd,Childrens Day Care,Full Day Care,,Ysgol Melyd,Ffordd Pennant,Meliden,LL19 8PE,Denbighshire,48,01745 771770,mirimelyd@hotmail.co.uk,,,
Miss Mai's After School Club,Childrens Day Care,Out of School Care,,Bynea Cp School,Saron Road Bynea,Llanelli,SA14 9LT,Carmarthenshire,24,07487831640,Missmai0107@outlook.com,,,
Model School Care Club,Childrens Day Care,Out of School Care,,50 College Road,,Carmarthen,SA31 3EG,Carmarthenshire,56,07535118053,paulslloyd@outlook.com,,,
Mond Court Apartments ,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Mond Court,,Swansea,SA6 5HQ,Swansea,6,01792846394,manager.mond@accomplish-group.co.uk,https://www.accomplish-group.co.uk/mond-court-apartments/,Accomplish group ltd,18
Mons Calpe,Care Home Service,Childrens Home,Personal care for children,,,Tredegar,,Blaenau Gwent,4,07456587003,joshua.oleary@blaenau-gwent.gov.uk,,Blaenau Gwent County Borough Council Adults and Children's Services,1
Mont Claire,Care Home Service,Adults Without Nursing,Learning disability,Caerphilly County Borough Council,65 Montclaire Avenue,Blackwood,NP12 1EF,Caerphilly,5,01495220248,jamesn2@caerphilly.gov.uk,www.caerphilly.gov.uk,Caerphilly County Borough Council Adults and Children's Services,13
Montgomery Pre-School,Childrens Day Care,Full Day Care,,Montgomery Activity Centre,Church Bank,Montgomery,SY15 6QA,Powys,24,01686 668387,presch@montgomery.powys.sch.uk,,Powys County Council Child Care and Play Services,21
Mortons Lodge,Care Home Service,Childrens Home,Personal care for children,,,Bala,,Gwynedd,3,01678520386,enquiries@newreflexions.co.uk,www.newreflexions.co.uk,Reflexion Care Group Ltd,4
Mountain House,Care Home Service,Childrens Home,Personal care for children,,,Swansea,,Swansea,2,07909104079,jonathanfreeman@tycaredig.co.uk,,TY CAREDIG LTD,3
Mountain Lane Out of School Club (Ollies),Childrens Day Care,Out of School Care,,Mountain Lane Primary School,Knowle Lane,Buckley,CH7 3JA,Flintshire,48,01244 550688,olliesclubpic@gmail.com,,,
Mountain View House,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Mountainview House,,Pontypool,NP4 6TY,Torfaen,7,01495762534,adultcare@priorygroup.com,www.priorygroup.com,PARKCARE HOMES (NO.2) LIMITED,2
Mrs Puddleducks Day Nursery,Childrens Day Care,Full Day Care,,Rassau Resource Community Centre Ltd,School Road Rassau,Ebbw Vale,NP23 5PP,,75,01495306525,mrspuddleducks@yahoo.co.uk,,,
Mrs Tiggywinkles,Childrens Day Care,Full Day Care,,Stone Lodge,,Tredegar,NP22 3AG,Blaenau Gwent,19,01685844619,tiggysnursery@hotmail.com,N/A,,
My Time Project Bulwark,Childrens Day Care,Out of School Care,,Bulwark Community Centre,Laburnam Way Bulwark,Chepstow,NP16 5RF,Monmouthshire,15,07971094280,,,Action for Children,2
Myddelton College,Boarding School,None,,Myddleton College,,Denbigh,LL16 3EN,Denbighshire,0,,,http://www.myddeltoncollege.com,,
Nannerch V.C.P School Out of School Club,Childrens Day Care,Out of School Care,,Nannerch V.C.P School,School Lane,Nannerch,CH7 5RD,Flintshire,32,07353827792,thedennannerch@gmail.com,www.nantlwysfederation.com,,
Nant,Care Home Service,Childrens Home,Personal care for children,,,Pontyclun,,Rhondda Cynon Taf,3,01443263319,leah.shephard@midwayts.com,,Midway Transitional Solutions Ltd,8
Nant Y Fedwen,Care Home Service,Childrens Home,Personal care for children,,,Neath,,Powys,4,01639702932,info@steppingstones.wales,steppingstonescareservices.co.uk,Stepping Stones Care Services (South Wales) Limited,7
Nantgwyn,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Aberdare,,Rhondda Cynon Taf,5,01685 871687,gareth.evans@rctcbc.gov.uk,http://www.rctcbc.gov.uk,Rhondda Cynon Taff County Borough Council Adults and Children's Services,16
New Hall Care Home with Nursing,Care Home Service,Adults With Nursing,,New Hall M H C,New Hall Road,Wrexham,LL14 6HB,Wrexham,12,01978822212,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,2
New House,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",St Brides Road,St. Fagans,Cardiff,CF5 6DU,Cardiff,7,02920569988,matt.grey@iriscaregroup.co.uk,www.iriscaregroup.co.uk,Ocean Community Services Limited,10
New House Lodge,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,4,01792449500,Ashleigh.Rees@athenacaregroup.co.uk,www.athenacaregroup.co.uk,Athena Care Group Ltd,1
Newbridge Nutkins,Childrens Day Care,Open Access Play Provision,,Newbridge-on-Wye C in W School,,Llandrindod Wells,LD1 6LD,Powys,20,01597 860273,office@newbridge.powys.sch.uk,https://www.newbridge.powys.sch.uk/,Powys County Council Child Care and Play Services,13
Nifty Kids Out of School & Holiday Care Scheme,Childrens Day Care,Out of School Care,,Cwm Talwg Community Centre,Plas Cleddau,Barry,CF62 7FG,Vale of Glamorgan,40,07790133025,,No,,
Nifty Kids Playgroup,Childrens Day Care,Sessional Day Care,,Nifty Kids Playgroup,Cwm Talwg Community Hall,Barry,CF62 7FG,Vale of Glamorgan,24,07790133025,ncvarney@hotmail.co.uk,No,,
Nightingales Cwm Clydach,Childrens Day Care,Full Day Care,,Nightingales Cwm Clydach Flying Start,29-31 Clydach Road,Tonypandy,CF40 2BD,Rhondda Cynon Taf,36,07970099276,mel@nightingalesnurseries.co.uk,www.littlenightingalesdaynursery.co.uk,,
Ninian Nursery (Roath Park),Childrens Day Care,Full Day Care,,40 - 41 Ninian Road,,Cardiff,CF23 5EH,Cardiff,44,02920482771,niniannursery@outlook.com,www.ninianurseries.co.uk,,
No 1 Belle Vue,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",1 Belle Vue Terrace,,Pontypridd,CF37 1TQ,Rhondda Cynon Taf,4,01443574293,Jill.Bow@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,19
Noahs Ark Nursery,Childrens Day Care,Full Day Care,,Green Pastures Community Centre,158b Fidlas Road,Cardiff,CF14 5LZ,Cardiff,59,02920762420,noahsarkdaynursery@yahoo.co.uk,,,
Nyth Y Nant,Care Home Service,Childrens Home,Personal care for children,,,Blackwood,,Caerphilly,4,01495228917,matthew.stephens@serencare.co.uk,www.serencare.co.uk,Seren Care Limited,1
Oak,Care Home Service,Adults Without Nursing,,Mental Health Care Uk,Alexander House Highfield Park,Denbigh,LL16 4LU,Denbighshire,8,01824572008,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,8
Oakfield House,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,5,02920 544290,enquiries@orbis-group.co.uk,www.orbis-group.co.uk,Orbis Education and Care Limited,9
Oakfield Road,Care Home Service,Childrens Home,Personal care for children,,,Newport,,Newport,3,01633221948,kirstie.oconnor@caretech-uk.com,https://greenfields.uk.com/,Greenfields Adolescent Development Limited & Caretech Community Services Limited,3
Oakhill,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Oakhill,928 Carmarthen Road Fforestfach,Swansea,SA5 4AB,Swansea,7,01792 589594,manager.oakhill@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,38
Oaklands,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",9 Ash Grove,,Barry,CF63 1LS,Vale of Glamorgan,3,01446402926,info@potens-uk.com,www.potens-uk.com,The Cedars Care Services Ltd,5
Oaklands residential short break home,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Newport,,Newport,5,01633892196,Oaklands@newport.gov.uk,www.newport.gov.uk,Newport City Council Adults and Children's Services,13
Oakway,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,2,07792203384,s.teague@cardiff.gov.uk,www.cardiff.gov.uk,Cardiff Council Adults and Children's Services,1
Old Gatehouse,Care Home Service,Childrens Home,Personal care for children,,,Aberdare,,Rhondda Cynon Taf,4,01685813632,info@steppingstones.wales,steppingstonescareservices.co.uk,Stepping Stones Care Services (South Wales) Limited,9
Old Road Lodge,Care Home Service,Childrens Home,Personal care for children,,,Neath,,Neath Port Talbot,6,01792449500,alix.davies@athenacaregroup.co.uk,www.athenacaregroup.co.uk,Athena Care Group Ltd,6
Once Upon a Time Day Nursery,Childrens Day Care,Full Day Care,,Once Upon A Time Nursery,56 Railway Terrace,Llanelli,SA15 2RH,Carmarthenshire,32,01554785173,info@llanellinursery.co.uk,www.onceuponatimellanelli.co.uk,,
Once Upon a Time Nursery,Childrens Day Care,Full Day Care,,Beddau Day Centre,,Beddau,CF38 2AG,Rhondda Cynon Taf,43,01443206640,hello@onceuponatimenursery.wales,http://onceuponatimenursery.wales,,
Orchard Day Nursery,Childrens Day Care,Full Day Care,,46 Clive Place,,Penarth,CF64 1AW,Vale of Glamorgan,36,02920705599,Orchardnurserypenarth@outlook.com,www.orchardnurserypenarth.co.uk,,
Orchard View,Care Home Service,Adults Without Nursing,,Mental Health Care Uk,Alexander House Highfield Park,Denbigh,LL16 4LU,Denbighshire,6,01824572012,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,4
Orme House,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Ty Gwyn Road,,Llandudno,LL30 2QR,Conwy,14,01492877024,info@potens-uk.com,www.potens-uk.com,Potensial Ltd,2
Osbourne Lodge Day Nursery,Childrens Day Care,Full Day Care,,Osbourne Lodge Day Nursery,Osborne Road,Pontypool,NP4 6LT,Torfaen,53,01495752234,info@osbournelodgenursery.co.uk,https://osbournelodgenursery.co.uk/,,
Oscars Out Of School Club,Childrens Day Care,Out of School Care,,Lodge Hill Infant School,,Newport,NP18 3DY,Newport,48,01633 423361,hello@kitesnurseryschool.co.uk,www.oscarsoutofschool.co.uk,,
Oscars@ Charles Williams,Childrens Day Care,Out of School Care,,Charles Williams Church in Wales Primary School,High Street,Newport,NP18 1AZ,Newport,96,01633 423361,hello@kitesnurseryschool.co.uk,https://kitesnurseryschool.co.uk/oscars-out-of-school-club/,,
Oystermouth School Fun Club,Childrens Day Care,Full Day Care,,Oystermouth Primary School,Newton Road,Swansea,SA3 4BE,Swansea,45,01792369233,,http://Oystermouth Primary School.com,,
Palace Road,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",3 Palace Road,,Cardiff,CF5 2AF,Cardiff,6,02920576756,katie.mills@iriscaregroup.co.uk,www.iriscaregroup.co.uk,Ocean Community Services Limited,5
Pale Road,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",25 Pale Road,,Neath,SA10 6BP,Neath Port Talbot,4,01792813663,wales.services@nas.org.uk,www.autism.org.uk,National Autistic Society,7
Palm Trees Out of Hours Club,Childrens Day Care,Out of School Care,,Llanishen Baptist Church,Fidlas Road,Cardiff,CF14 5LZ,Cardiff,34,07853161346,palmtreesppc@hotmail.co.uk,,,
PALS Daycare,Childrens Day Care,Full Day Care,,Gnoll Primary School,Wellfield Avenue,Neath,SA11 1AQ,Neath Port Talbot,24,07936582000,palsplaygroup@aol.com,,,
Pant Yr Odyn,Care Home Service,Adults Without Nursing,Personal care for adults,96 Llandeilo Road,Llandybie,Ammanford,SA18 3JD,Carmarthenshire,7,01269 851101,pantyrordyn@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,21
Parc Lodge,Care Home Service,Adults Without Nursing,,Parc Lodge,Bryntirion Hill,Bridgend,CF31 4DA,Bridgend,10,07547101567,anastasia.buridge@accomplish-group.co.uk,,Accomplish group ltd,45
Parc Newydd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Parc Newydd Home For The Elderly,Green Park Talbot Green,Pontyclun,CF72 8RB,Rhondda Cynon Taf,36,01443237848,Jill.Bow@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,8
Park Avenue,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",46 Park Avenue,Skewen,Neath,SA10 6SA,Neath Port Talbot,5,01792 815495,manager.parkavenue@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,19
Park Farm,Care Home Service,Childrens Home,Personal care for children,,,Abergavenny,,Monmouthshire,2,01873851615,michelle.gundy@greenfields.uk.com,www.caretech-uk.com,Greenfields Adolescent Development Limited & Caretech Community Services Limited,2
Park House,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,2,07701284359,lauren.mccartney@tycaredig.co.uk,,TY CAREDIG LTD,5
Park House Children's Home ,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Port Talbot,,Neath Port Talbot,3,01639882529,walesadmin@actionforchildren.org.uk,,Action for Children and Action for Children Services Ltd,9
Park Lane Day Nursery,Childrens Day Care,Full Day Care,,Old Stables,Park Lane,Welshpool,SY21 7JP,Powys,52,01938552570,parklanenursery@hotmail.com,,,
Park View,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Park View,Wheatsheaf Lane,Wrexham,LL11 4DU,Wrexham,5,01978722417,wendy.bailey@wrexham.gov.uk,,Wrexham County Borough Council Adults and Children's Services,5
Parklands,Care Home Service,Adults Without Nursing,Personal care for adults,Newport City Council,Parklands,Newport,NP20 6NH,Newport,26,01633821249,parklands@newport.gov.uk,www.newport.gov.uk,Newport City Council Adults and Children's Services,11
Parklands,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Parklands Care Home,Newport Road,Caerphilly,CF83 8AA,Caerphilly,38,02920880525,amy.campbell@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,9
Parklands,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",9 Montgomery Road,,Newport,NP20 6QE,Newport,5,01633821860,ebilton@consensussupport.com,https://www.consensussupport.com/find-a-home-search-results/?postcode=&home=parklands&region=&accommodation_category=,Consensus Support Services Limited,2
Pen Bryn,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Primrose Terrace,,Porth,CF39 9TF,Rhondda Cynon Taf,7,01443858260,manager.penbryn@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,20
Pen Y Bryn Care Home,Care Home Service,Adults With Nursing,"Learning disability, Mental health, Nursing care for adults, Personal care for adults",Summerhill Road Stansty,,Wrexham,LL11 4YE,Wrexham,70,01978722400,ResponsibleIndividual@pendinepark.com,www.pendinepark.com,Pendine Park Care Organisation Ltd,6
Pen Y Coed,Care Home Service,Adults Without Nursing,Personal care for adults,Pen Y Coed,Parkway,Newport,NP11 3EF,Caerphilly,6,01495 212712,info.Penycoed@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,17
Pen Y Fai House,Care Home Service,Adults Without Nursing,Personal care for adults,Penyfai House,Pen-y-fai Road,Bridgend,CF32 9AA,Bridgend,1,01656 729885,info.Penyfaihouse@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,3
Pen y Hill,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Pen Y Hill House,Pen Y Pound,Abergavenny,NP7 7RW,Monmouthshire,5,01873859139,phillip.johnson@achievetogether.co.uk,www.achievetogether.co.uk,Achieve together Ltd,9
Pencoed Pavilion Playgroup,Childrens Day Care,Sessional Day Care,,Cricket Pavilion,Felindre Road,Bridgend,CF35 5PB,Bridgend,24,07468295850,sue.hostettler@btinternet.com,sue.hostettlerbtinternet.com,,
Peniel Green Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Peniel Green Care Home,216 Peniel Green Road,Swansea,SA7 9BD,Swansea,34,01792773034,PenielGreen.Manager@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,8
Pennar Flying Start and Fledgling Playgroup,Childrens Day Care,Full Day Care,,Pennar Community School,Owen Street,Pembroke Dock,SA72 6SL,Pembrokeshire,40,01646684402,admin.pennar@pembrokeshire.gov.uk,www.pennarcommunity.pembrokeshire.sch.uk,Pembrokeshire County Council Child Care and Play Services,2
Penrhiw,Care Home Service,Childrens Home,Personal care for children,,,Haverfordwest,,Pembrokeshire,3,01437741657,penrhiw@landskercare.co.uk,www.landskerchildcare.co.uk,Landsker Child Care Ltd,3
Pentre House,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Pentre House,Pentre Road,Pentre,CF41 7DJ,Rhondda Cynon Taf,29,01443441929,victoria.taylor@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,9
Penygarn Under Fives and After School Club,Childrens Day Care,Full Day Care,,Penygarn ICC,Penygarn Community School,Pontypool,NP4 8JR,Torfaen,24,07889346348,pontymoileoffice@gmail.com,,,
Penyparc Farm,Care Home Service,Childrens Home,Personal care for children,,,Abergavenny,,Monmouthshire,4,01873857043,info@steppingstones.wales,steppingstonescareservices.co.uk,Stepping Stones Care Services (South Wales) Limited,2
Penyrheol Trecenydd Energlyn Community Council - Penyrheol,Childrens Day Care,Out of School Care,,Cwm Ifor Primary School,Heol Aneurin,Caerphilly,CF83 2PG,Caerphilly,60,,ptecommunitycouncil@gmail.com,ptecc.org.uk,Penyrheol Trecenydd Energlyn Community Council,2
Picton Court,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",200 West Road,,Porthcawl,CF36 3RT,Bridgend,76,01656789720,picton@hafod.org.uk,www.hafod.org.uk,Hafod Housing Association Ltd,4
Pili-Pala Day Nursery,Childrens Day Care,Full Day Care,,Mountain Hare,,Merthyr Tydfil,CF47 0LH,Merthyr Tydfil,49,01685722056,hsouthern@btinternet.com,www.pilipalanursery.net,,
Pine,Care Home Service,Adults Without Nursing,,Mental Health Care Uk,Alexander House Highfield Park,Denbigh,LL16 4LU,Denbighshire,6,01824572023,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,16
Plant Parciau,Childrens Day Care,Full Day Care,,Griffiths Crossing,,Caernarfon,LL55 1TS,Gwynedd,56,01286 673000,parciau@icloud.com,,,
Plantation House,Care Home Service,Childrens Home,Personal care for children,,,Merthyr Tydfil,,Merthyr Tydfil,2,07517008878,warren.davies@merthyr.gov.uk,www.merthyr.gov.uk,Merthyr Tydfil County Borough Council Adults and Children's Services,5
Plas Cae Crwn,Care Home Service,Adults Without Nursing,Personal care for adults,Plas Cae Crwn Care Home,Park Street,Newtown,SY16 1EW,Powys,40,01686625734,plascaecrwn.manager@shaw.co.uk,www.shaw.co.uk,Shaw healthcare (Cambria) Limited,15
Plas Crigyll Residential Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Plas Crigyll,Salem Street,Holyhead,LL65 3RA,Isle of Anglesey,25,01407720949,paulaedwards@ynysmon.llyw.cymru,https://www.anglesey.gov.wales/en/Residents/social-care-and-wellbeing/Section.aspx,Isle of Anglesey County Council Adults and Children's Services,8
Plas Cwm Carw Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Plas Cwm Carw Care Home,Oakwood Lane,Port Talbot,SA13 1DF,Neath Port Talbot,66,01639890224,PlasCwmCarw.Manager@hc-one.co.uk,https://www.hc-one.co.uk,HC-One Limited,10
Plas Gwilym,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Plas Gwilym,Victoria Road,Caernarfon,LL54 6HD,Gwynedd,27,01286880442,sharronjones@gwynedd.llyw.cymru,,Gwynedd Council Adults and Children's Services,6
Plas Hafan,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Ffordd Dewi Sant,,Pwllheli,LL53 6EA,Gwynedd,30,01758720671,michellejones@gwynedd.llyw.cymru,,Gwynedd Council Adults and Children's Services,7
Plas Hedd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Penrhyn Avenue,,Bangor,LL57 1LT,Gwynedd,27,01248351827,carysowen2@gwynedd.llyw.cymru,,Gwynedd Council Adults and Children's Services,8
Plas Maesincla,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Plas Maesincla,,Caernarfon,LL55 1DB,Gwynedd,23,01286672507,susanevans@gwynedd.llyw.cymru,,Gwynedd Council Adults and Children's Services,9
Plas Mona Residential Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Ffordd Penmynydd,,Llanfairpwllgwyngyll,LL61 5EX,Isle of Anglesey,29,01248714869,mairwilliams@ynysmon.gov.uk,https://www.anglesey.gov.wales/en/Residents/social-care-and-wellbeing/Section.aspx,Isle of Anglesey County Council Adults and Children's Services,7
Plas Newydd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Plas Newydd,Mill Street,Newport,NP18 1BH,Newport,3,01633430179,wales.services@nas.org.uk,,National Autistic Society,1
