Email Address,SITE,LOCALAUTH,SITECOUNT
helen.satherley@plcl.org.uk,Efail Wen,Caerphilly,1
helen@clwbcarco.com,Clwb Carco,Cardiff,1
helen@glanrhos.co.uk,Quality Care (Wales) Limited,Isle of Anglesey,1
helengilmoremeithrin@yahoo.co.uk,Cylch Meithrin Ysgol y Llys,Denbighshire,1
helenh@accurocare.co.uk,Medhurst Care Home,Caerphilly,1
hello@bijou-nursery.com,Bijou Day Nursery and Creche,Vale of Glamorgan,1
hello@childsplayswansea.co.uk,Child's Play and Child's Play at Crwys,Swansea,2
hello@crickcarehome.com,Crick Care Home,Monmouthshire,1
hello@daisydaynursery.com,Daisy Day Nursery - Llanishen,Cardiff,1
hello@lakesidecare.co.uk,Lakeside House Nursing Home,Cardiff,1
hello@llnps.com,Llandudno Nursery and Pre-School,Conwy,1
hello@lullabyznursery.co.uk,Lullabyz Nursery Ltd,Newport,1
hello@mesenfants.co.uk,Mes Enfants Day Nursery,Swansea,1
hello@pitterpatterplay.co.uk,Hafan Hael Bettws and 2 other services you run,Newport,3
helo@cywionbach.co.uk,Cywion Bach,Carmarthenshire,1
heretohelp@carongroup.wales,Anwen Care Home and 10 other services you run,Bridgend,11
hgglynebwy@gmail.com,Ysgol Feithrin Pontypwl,Torfaen,1
highgrove.residential@yahoo.com,Highgrove Residential Home,Pembrokeshire,1
highwayplaydays@gmail.com,Highway Playdays Nursery,Flintshire,1
hillcroft@farringtoncare.com,Hillcroft Residential Care Home,Cardiff,1
hillsborocarehome@yahoo.com,Hillsboro Residential Care Home,Gwynedd,1
hiraddug.playgroup@gmail.com,Hiraddug Childcare,Denbighshire,1
hiraethmanager@empowersupport.co.uk,Hiraeth House,Swansea,1
holidayclub@canolfanbeaumaris.org.uk,Canolfan Holiday Club,,1
holidayclub@cathedral-school.co.uk,Mini Mitres,Cardiff,1
holidayclub@xlwales.org.uk,XLWales Holiday Club,Swansea,1
hollieschildcarefacility@gmail.com,The Hollies Childcare Facility,Rhondda Cynon Taf,1
holliesoffice@silvercrestcare.co.uk,Hollies Care Home,Rhondda Cynon Taf,1
hollyardentowers@gmail.com,Arden Towers Care Home,Conwy,1
hollylodge@virgocarehomes.com,Hollylodge Residential Home,Torfaen,1
holtunderfivesplaygroup@gmail.com,Holt Under Fives Playgroup and Toddlers,Wrexham,1
holywellchildcareltd@gmail.com,Holywell Child Care Ltd,Flintshire,1
honi@brookfieldchildcare.co.uk,Brookfield Day Nursery,Powys,1
hopscotchnursery@gmail.com,Hopscotch Nursery,Monmouthshire,1
hub-wildlings@outlook.com,Hub Wildlings,Isle of Anglesey,1
huw@baglanlodge.co.uk,Baglan Lodge Care Home,Neath Port Talbot,1
huwsparkes@elidyrct.ac.uk,Garnllwyd Barns,Vale of Glamorgan,1
huwwilliams.oldvicaragetonna@outlook.com,Old Vicarage Nursing Home,Neath Port Talbot,1
hwylasbri17@yahoo.com,Hwyl a Sbri Meithrinfa Ddydd Ddwy Ieuthog Bilingual Day Nursery,Carmarthenshire,1
hylands@me.com,Hyland Residential Home Ltd ,Isle of Anglesey,1
hywel.may@caloncare.co.uk,Alexandra House and 4 other services you run,Caerphilly,5
ian@littleeinsteinsacademy.com,Little Einsteins Academy Limited,Caerphilly,1
ian@newhorizonsnorthwales.com,Willowdene,Conwy,1
ian@robertshomes.co.uk,Plas-y-Mor Nursing Home,Denbighshire,1
ianroberts@sapphirestreams.co.uk,The Oaks,Flintshire,1
info.ab@carongroup.wales,Abergarw Manor,Bridgend,1
info.be@carongroup.wales,The Beeches Care Home,Rhondda Cynon Taf,1
info.ca@carongroup.wales,Cartref Annwyl Fan Care Home,Carmarthenshire,1
info.glanmarlais@paddacare.com,Glanmarlais,Carmarthenshire,1
info.glanyrafoncarehome@gmail.com,Comfort Care Homes (Glan Yr Afon) Ltd,Caerphilly,1
info.lotsoftots@gmail.com,Lots of Tots Tir Morfa,Neath Port Talbot,1
info.manorleigh@gmail.com,Fairleigh House,Swansea,1
info.pw@carongroup.wales,Parc Wern Care Home,Carmarthenshire,1
info.sm@carongroup.wales,St Mark's Court,Swansea,1
info.treforys@paddacare.com,Treforys Care Home,Swansea,1
info.vv@carongroup.wales,Valley View Care Home,Caerphilly,1
info@abacusdaynurseries.co.uk,Abacus Day Nursery,Swansea,1
info@accurocare.co.uk,Zoar Care Home,Rhondda Cynon Taf,1
info@alexandrahouse-supportservices.co.uk,Alexandra House  and Alexandra House Residential Denbigh,Denbighshire,2
info@andipandis.co.uk,Meithrinfa Andi Pandi's Day Nursery LTD,Carmarthenshire,1
info@ariacarehome.com,Aria Care Home,Newport,1
info@ashleycourtcare.com,Ashley Court Care,Carmarthenshire,1
info@ashtonparkcarehome.co.uk,Ashton Park Care Home,Newport,1
info@autismpathways.co.uk,Oakfield,Flintshire,1
info@avenueroadnursinghome.co.uk,Avenue Road Nursing Home,Monmouthshire,1
info@bananamoon-bridgend.co.uk,Banana Moon Day Nursery Bridgend and Banana Moon Holiday & After School Club,Bridgend,2
info@bananamoon-coity.co.uk,Banana Moon Coity,Bridgend,1
info@bangorondeechildcare.co.uk,Bangor on Dee Childcare,Wrexham,1
info@barleybind.co.uk,Cartref Ael Y Bryn,Carmarthenshire,1
info@bevancollege.org,Bevan College,Bridgend,1
info@bloomfieldcare.co.uk,Bloomfield Care Home,Swansea,1
info@blueberrybears.co.uk,Blueberry Bears Nursery & Pre School,Cardiff,1
info@branas.co.uk,Bythnod & Hendre Llwyd and 3 other services you run,Denbighshire,4
info@brighterminds.uk,Brighter Minds Childcare Ltd and Brighter Minds Ty Isaf,Caerphilly,2
info@broadwaycare.co.uk,Hazelhurst Nursing Home and Pantanas Care Centre,Vale of Glamorgan,2
info@brooklandshome.co.uk,Brooklands Rest Home Ltd,Pembrokeshire,1
info@brynawelon.com,Bryn Awelon Care Home Limited,Gwynedd,1
info@brynsiriol.com,Brynsiriol Care Home,Neath Port Talbot,1
info@burrowshall.co.uk,Burrows Hall,Swansea,1
info@busybeehivenursery.co.uk,Busy Beehive,Pembrokeshire,1
info@buttercupsdaynursery.com,Buttercups Day Nursery,Flintshire,1
info@caemelyn.com,Cae Melyn Care Home,Powys,1
info@caerleoncardiff.co.uk,Caerleon Child Care,Cardiff,1
info@chunkymonkeysnursery.com,Chunky Monkeys Day Nursery,Bridgend,1
info@coedcariad.org,Coed Cariad,Carmarthenshire,1
info@coedmor.co.uk,Coed Mor Residential Care Home,Conwy,1
info@coniferscarehome.co.uk,The Conifers Care Home,Conwy,1
info@crscare.com,Haven House Residential Care Home and Mill House Residential Care Home,Cardiff,2
info@cupcakes-dinosaurs.co.uk,Cupcakes 'n' Dinosaurs Private Day Care Nursery,Torfaen,1
info@cwtch.ltd,Cwtch Childrens Services Ltd and Cwtch’s Children’s Services Ltd Ddraig Cottage,Monmouthshire,2
info@cwtchchildcare.co.uk,Gofal Plant CWTCH Childcare - Fairwater,Cardiff,1
info@danicocare.co.uk,PONTCANNA HOUSE,Cardiff,1
info@darlingbudsnursery.co.uk,Darling Buds Nursery,Cardiff,1
info@dfmcarehome.co.uk,Duffryn Ffrwd Manor LTD,Rhondda Cynon Taf,1
info@elementaladventures.org,Elemental Outdoor Play & Learning,Ceredigion,1
info@elliotshill.co.uk,Perrots Lodge,Pembrokeshire,1
info@fairfieldnh.co.uk,Fairfield nursing home ,Pembrokeshire,1
info@fairhaven-care.com,Fairhaven Care Home Ltd,Conwy,1
info@florencejustice.co.uk,Florence Justice Christian Home,Newport,1
info@footstepsdaynursery.co.uk,Footsteps Nursery,Caerphilly,1
info@futurestarscoaching.co.uk,Future Stars Coaching at Tongwynlais Primary School,Cardiff,1
info@galltfaenanhall.co.uk,Galltfaenan Hall,Denbighshire,1
info@glasllt-fawr.com,Glasallt Fawr Care Home,Carmarthenshire,1
info@glencoevilla.co.uk,Glencoe Villa,Conwy,1
info@go2play.co.uk,Radyr Scout Hall Breakfast & After School Club and The Old Church Rooms After School Club,Cardiff,2
info@gwernllwyncarehome.co.uk,Gwernllwyn Care Home,Carmarthenshire,1
info@haulfryn-care.co.uk,Haulfryn Care Limited,Flintshire,1
info@hermitagehome.co.uk,Hermitage House Care Home Limited,Powys,1
info@highgatedaynursery.co.uk,Highgate Day Nursery and Highgate Day Nursery - Morriston,Swansea,2
info@homefromhomechildrensdaynursery.co.uk,Home From Home Children`s Day Nursery Ltd,Rhondda Cynon Taf,1
info@horizonsupportservices.co.uk,Riverside House ,Swansea,1
info@innovate-trust.org.uk,Innovate Trust Respite Service(Short Stay Service),Cardiff,1
info@interplay.org.uk,Interplay @ Crug-Glas and Interplay @ The Play Hwb,Swansea,2
info@jac-y-do.co.uk,Meithrinfa Jac-Y-Do,Carmarthenshire,1
info@ladybirds-daynursery.co.uk,Ladybirds Day Nursery Limited,Cardiff,1
info@lcdp.org.uk,LCDP Explorers,Rhondda Cynon Taf,1
info@lighthouseresidentialhomes.co.uk,Beach House and 2 other services you run,Neath Port Talbot,3
info@lotsoftots.co.uk,Lots of Tots Day Nursery,Neath Port Talbot,1
info@mayflowercare.co.uk,Mayflower Care Home,Neath Port Talbot,1
info@meadowsnh.co.uk,Meadows Nursing Home,Pembrokeshire,1
info@meithrinfatyhapus.com,Meithrinfa Ty Hapus,Swansea,1
info@meithrinsocialcare.co.uk,Penrhiw Lodge,Swansea,1
info@nant-y-cwm.co.uk,Nant-y-Cwm Steiner School,Pembrokeshire,1
info@nestlingsforestschool.co.uk,Nestlings Forest School and Nursery,Wrexham,1
info@nestlingsnursery.co.uk,The Nest,Cardiff,1
info@noahsarknarberth.co.uk,Noah`s Ark Nursery,Pembrokeshire,1
info@noblefutureschildcare.co.uk,Brychan House,Merthyr Tydfil,1
info@norfolkhousenursery.co.uk,Norfolk House Nursery,Newport,1
info@oakleighhouseschool.co.uk,Oakleigh House School Out of Hours,Swansea,1
info@oceandaynursery.com,Ocean Day Care Nursery,Cardiff,1
info@opendoorfamilycentre.co.uk,Open Door Family Centre,Powys,1
info@pitterpatterdaynursery.co.uk,Pitter Patter After School Club and Pitter Patter Day Nursery Ltd,Swansea,2
info@plantos.co.uk,Plantos Limited,Cardiff,1
info@plasbod.co.uk,Plas Bod Llwyd,Wrexham,1
info@plasdwbl.rmt.org,CPD Llwyn Piod and CTE Towy Cottage,Pembrokeshire,2
info@plasgarnedd.co.uk,Plas Garnedd Pentraeth and Plas Garnedd Residential Home,Isle of Anglesey,2
info@potens-uk.com,Calon Celtaidd and Cartref Celtaidd,Neath Port Talbot,2
info@presteigneplaygroup.co.uk,Presteigne Little People,Powys,1
info@priory-house.org,Priory House Care Home,Pembrokeshire,1
info@rainbowreefdaycare.co.uk,Rainbow Reef Daycare,Pembrokeshire,1
info@rhoscyf.co.uk,Rhos Care Home,Isle of Anglesey,1
info@rozellenursinghome.co.uk,Rozelle Nursing Home,Monmouthshire,1
info@s4yc.co.uk,Penyffordd After School Club and 3 other services you run,Flintshire,4
info@silverspringssupport.co.uk,Hafan and Pips Lodge,Pembrokeshire,2
info@siwgrplwm.com,Meithrinfa Siwgr Plwm Cyf and Meithrinfa Siwgr Plwm Dwynwen,Isle of Anglesey,2
info@sparesidentialhome.co.uk,Spa Residential Home Ltd,Powys,1
info@stepaside.uk.com,Woodland View,Monmouthshire,1
info@steppingstones4schools.com,Stepping Stones 4 School Out of School & Holiday Club and 4 other services you run,Cardiff,5
info@sweet-p.co.uk,Sweet Pea Daycare,Cardiff,1
info@talbotcourtcare.co.uk,Talbot Court Care Home,Neath Port Talbot,1
info@teifitots.co.uk,Meithrinfa Teifi Tots Nursery,Carmarthenshire,1
info@theedennursery.co.uk,Eden Nursery,Blaenau Gwent,1
info@thegablesemi.co.uk,The Gables Care Home,Conwy,1
info@thelearningtreecardiff.co.uk,The Learning Tree,Cardiff,1
info@thelearningtreedaynursery.co.uk,The Learning Tree Day Nursery (Newport),Newport,1
info@thelilrascals.co.uk,The Lil Rascals - Magor Primary and The Lil Rascals at The Dell,Monmouthshire,2
info@thetreehousedaycare.co.uk,The Treehouse Daycare Maesteg Limited,Bridgend,1
info@thistlecourtcarehome.com,Thistle Court Nursing Home ,Torfaen,1
info@treforys-tinytots.co.uk,Treforys Tiny Tots Day Nursery,Swansea,1
info@trinitychildcare.wales,Trinity Childcare and Family Centre Ltd,Merthyr Tydfil,1
info@twtstywi.co.uk,Clwb Twts Tywi and Meithrinfa Twts Tywi Nursery,Carmarthenshire,2
info@tyceiros.com,A1 Care Services trading as Ty Ceirios Nursing Home,Torfaen,1
info@tyderwen.com,Elm House and Willow House,,2
info@tygofal.co.uk,Gwendraeth House and 2 other services you run,Carmarthenshire,3
info@tyteulu.co.uk,Ty Cysgu ,Bridgend,1
info@ucancare.com,Hillside and Mill House,Rhondda Cynon Taf,2
info@woodlandslimited.com,Woodlands Croeshowell Cottage and 4 other services you run,Wrexham,5
info@youngfoundations.com,Oaklea Grange,Flintshire,1
inspirations03@gmail.com,Gwynfa Lodge Residential Home and 2 other services you run,Gwynedd,3
jacob@bellavistanursinghome.com,Bellavista Nursing Homes (Wales)  Limited,Vale of Glamorgan,1
jade.hill@silverliningcare.co.uk,Ty Alban and Ty-Heddfan,Powys,2
jade@mentercaerdydd.cymru,Gofal,Cardiff,1
jake@sunsetwest.co.uk,Pembroke Haven and Woodfield Care Home (Nursing),Pembrokeshire,2
james.bradford@rosewoodhealthcaregroup.co.uk,Plas Y Bryn and Rhoslan Care Home,Conwy,2
james@stradeyparkcarehomes.co.uk,Stradey Park House,Carmarthenshire,1
jamie.smith@plasdwbl.rmt.org,Ty Morwydden,Pembrokeshire,1
jane.humphreys@clwydalyn.co.uk,Chirk Court,Wrexham,1
jane@floweringshrubs.co.uk,Flowering Shrubs Nursery Cyncoed and 2 other services you run,Cardiff,3
janegojane@aol.com,Canterbury House Residential Home Limited,Pembrokeshire,1
janesibanda@lubacare.onmicrosoft.com,Balmoral House,Newport,1
janet.lewis@lovett-care.com,Bradshaw Manor Care Home,Denbighshire,1
janet@sunsetwest.co.uk,Pen-coed Residential Care Home,Pembrokeshire,1
janeteagles@hotmail.co.uk,Claremont Court Care Home Ltd,Newport,1
jay.bailey@arc-care.co.uk,James House and The Attic,Swansea,2
jayne.saunders.rookery@gmail.com,The Baytrees and The Brambles,Pembrokeshire,2
jayne.wright@caiapark.org,Sparkles Day Nursery,Wrexham,1
jeanpierre@serensteps.co.uk,Morgans House,Caerphilly,1
jeffreystonplay@gmail.com,Jeffreyston Playstation,Pembrokeshire,1
jigsawpreschool@gmail.com,Jigsaw Preschool,Powys,1
jigsawwrexham@yahoo.com,Jigsaw Wrexham Ltd,Wrexham,1
jo21370@live.co.uk,Bumble Bees Playgroup,Denbighshire,1
joanna.mosses@mychoicehealthcare.co.uk,Towy Castle Care Home,Carmarthenshire,1
joanna@eriskaycare.co.uk,Eriskay,Monmouthshire,1
john.catlow@genesiscte.co.uk,Bryn y Mor,Pembrokeshire,1
johnstown@poblbach.co.uk,Pobl Bach Johnstown,Carmarthenshire,1
joiocasllwchwr@gmail.com,Joio Casllwchwr,Swansea,1
joiodaynursery@gmail.com,Meithrinfa Joio Day Nursery,Swansea,1
jolene@bryngwy.co.uk,Bryngwy,Powys,1
jonathan@ansacareconcept.co.uk,Plas Dyffryn Residential Home,Isle of Anglesey,1
jonese4067@hwbcymru.net,Golftyn After School Club,Flintshire,1
jp.hodgkinson@sicswales.co.uk,Griffin House and Tree Tops,Blaenau Gwent,2
js@libertyplacements.co.uk,Liberty House,Bridgend,1
jubileeplaygroup1@icloud.com,Jubilee Playgroup,Vale of Glamorgan,1
julie.counsell@ivolve.care,St Saviours Nursing Home,Cardiff,1
julie.mclaughlin@flourish.cymru,Gofal Plant Flourish Cymru Childcare,Rhondda Cynon Taf,1
julie@parallelcaresolutions.co.uk,Ty Efa,Flintshire,1
julieeverley@icloud.com,Clwb Enfys at Ysgol Glan Gele and 4 other services you run,Conwy,5
jumpingjacks2024@outlook.com,Jumping Jacks,Wrexham,1
k.goremdn@gmail.com,Little Gems,Monmouthshire,1
karen.gunning@cardiff.gov.uk,Severn Care Club,Cardiff,1
karen.price.sscare@hotmail.com,The Glynne Home and Ty Cerrig Care Home,Flintshire,2
karen.stanley@mha.org.uk,Coed Craig,Conwy,1
karen@theventure.wales,The Venture Wrexham Ltd,Wrexham,1
karencydasc@aol.com,Craig Y Don OSC,Conwy,1
karengregory@drive-wales.org.uk,Brynsadler Short Term Care,Rhondda Cynon Taf,1
katie@accurocare.co.uk,Maesglas Care Home,Wrexham,1
katiebrown@cch-uk.com,Newton Court,Swansea,1
kay@awelonhealthcare.com,Awelon Healthcare Parkview House ,Swansea,1
kayleigh.boswell@ivolve.care,Fieldbay Ty Newydd Ltd,Bridgend,1
kayode@gwyddfor.com,Gwyddfor Residential,Isle of Anglesey,1
kdix337@btinternet.com,Kelsterton under 5’s,Flintshire,1
kellie@sunsetwest.co.uk,Langton Hall Care Home,Pembrokeshire,1
kelly.homesofexcellence@mychoicehealthcare.co.uk,Luk-ros Bungalow and Victoria House,Caerphilly,2
kelly.lovell@wales.nhs.uk,Teddy Bear Nursery,Vale of Glamorgan,1
kelly@pebbles-daynursery.com,Pebbles Day Nursery Swansea,Swansea,1
kellywoodall@elidyrct.ac.uk,Victoria House Care Home ,Carmarthenshire,1
kerry.danygraig@mychoicehealthcare.co.uk,"Glamorgan Care Ltd, Danygraig House",Bridgend,1
kerry.wade@hanbury-care.com,Hanbury House and 2 other services you run,Torfaen,3
kerryplaygroup@gmail.com,Kerry Playgroup,Powys,1
kevin.jones@brynmarl.co.uk,Bryn Marl Nursing Home,Conwy,1
keyly.scott@bupa.com,Heol Don Care Home,Cardiff,1
kiddiesworld7@gmail.com,Kiddies World,Wrexham,1
kids@rbc.ac,Rhiwbina Baptist Church Nursery,Cardiff,1
kidzden1@hotmail.co.uk,Cylch Meithrin Treharris and Kidz Den Afterschool Club,Merthyr Tydfil,2
kierajay96@gmail.com,Cylch Meithrin Treboeth a Tirdeunaw,Swansea,1
kimleigh@aspris.com,Laurel Park and 2 other services you run,Wrexham,3
kirstie@blisscareservices.co.uk,Harmony House,Flintshire,1
kirsty.aitken@nurtureone.co.uk,Little Cross,Monmouthshire,1
kirsty@swn-y-gan.com,Swn-y-Gan,Swansea,1
kristin.oatley@keys-group.co.uk,Coed Duon,Caerphilly,1
kyle@progressus-care.com,Thistle Lodge,Neath Port Talbot,1
kylee@we-are-unique.care,Braich y Cwm,Denbighshire,1
l.jones@cynhenidcare.co.uk,Nantyr View,Wrexham,1
ladybirds.llanvihangel@hotmail.co.uk,Ladybirds at Llanvihangel Limited,Monmouthshire,1
ladybirds.olsm@hotmail.com,Ladybirds at OLSM,Monmouthshire,1
ladybirdschildcare123@gmail.com,Ladybirds Childcare,Caerphilly,1
laima@woffington.co.uk,Woffington House,Blaenau Gwent,1
lakesidedaynursery@btconnect.com,Lakeside Day Nursery,Swansea,1
langlandcare@gmail.com,Brynfield Manor  and The Newton Grange ,Swansea,2
laura.stevens@mccp.org.uk,Machynlleth Out of School Club,Powys,1
laura@we-are-unique.care,Ty'r Bont,Denbighshire,1
laurakate@we-are-unique.care,Oakcroft House,Wrexham,1
laybourne@nurt.co.uk,Laybourne House,Torfaen,1
leadoncourt@summerhillgroup.co.uk,Leadon Court Nursing Home,Torfaen,1
leah.mort@foxhunterscc.co.uk,Foxhunters Care Community,Monmouthshire,1
leanne.owen@plasdwbl.rmt.org,Ty'r Eithin Cottage and Tyr Garn,Carmarthenshire,2
leannedrane2019@gmail.com,Brambly Hill Day Nursery and Early Years Academy,Carmarthenshire,1
learn@littlehavennursery.co.uk,Little Haven Nursery - Park Road,Cardiff,1
lee.bates@carewithoutcompromise.org.uk,Bwthyn Talbot and 4 other services you run,Carmarthenshire,5
lee@progressus-care.com,Hill Top,Carmarthenshire,1
leestingemore@positifcare.co.uk,Ty-Mawr,Blaenau Gwent,1
legalandcompliancehelpdesk@priorygroup.com,Redlands,Newport,1
leighan.davies@valeresort.com,The Vale Nursery & Creche,Vale of Glamorgan,1
leonsingh@lyndellhouse.com,Lyndell House Limited,Swansea,1
lesley@playtimextra.com,Playtimextra (Breakfast and After School Club),Cardiff,1
lestousgrands@gmail.com,Les Tous Childcare,Vale of Glamorgan,1
lexhamgreen@gmail.com,Lexham Green Care Home,Flintshire,1
lffpgroup@aol.com,Llanfairfechan Playgroup,Conwy,1
liamgeorge23@aol.com,Claremont Care Home,Bridgend,1
libby.leyshon@bridgend.gov.uk,North Cornelly Playgroup Association,Bridgend,1
lighthouse.nursery@thornhillchurch.org.uk,Lighthouse Nursery,Cardiff,1
lilangelsdaynursery@hotmail.com,Li'l Angels Day Nursery and Pre school,Flintshire,1
liliwenfach-nursery@outlook.com,Meithrinfa Liliwenfach,Carmarthenshire,1
linda.platt@theventure.wales,The Venture,Wrexham,1
linda.waterston@ivolve.care,Pen  Y Bont Court,Bridgend,1
linda@harbourchildrensservices.co.uk,Ty Mesen,Denbighshire,1
lis.bielak@ivolve.care,Cwm Gwendraeth,Carmarthenshire,1
lisa@caramgroup.co.uk,Pen -Y- Bont Care Home,Blaenau Gwent,1
lisa@chuckles.wales,Chuckles Day Care Wales Ltd,Newport,1
lisa@deganwyplaygroup.co.uk,Deganwy Playgroup,Conwy,1
lisa@holliesnursery.co.uk,The Hollies Daycare Nursery,Cardiff,1
littleacorn.mesbach@gmail.com,Little Acorns - Mes Bach,Carmarthenshire,1
littleacornsdaynurseryswansea@aol.co.uk,Acorn Nursery Ltd trading as Little Acorns Day Nursery,Swansea,1
littleacornsltd@outlook.com,Little Acorns Day Care Ltd and Little Acorns Ruthin,Denbighshire,2
littleacornspembs@gmail.com,Little Acorns Playgroup,Pembrokeshire,1
littleacornswelshpool@gmail.com,Little Acorns Day Nursery,Powys,1
littlebutterflies123@outlook.com,Little Butterflies,Cardiff,1
littlechicksnurseryplus@outlook.com,Little Chicks Nursery Plus,Wrexham,1
littleexplorerscardiff@outlook.com,Little Explorers and Little Explorers at the Park,Cardiff,2
littleexplorerspre-school@outlook.com,Little Explorers Pre-school,Denbighshire,1
littlefootstepsnursery@hotmail.com,Little Footsteps nursery at Blakedown house,Bridgend,1
littlefriends123@hotmail.com,Little Friends Nursery,Rhondda Cynon Taf,1
littleheroesnursery@gmail.com,Little Heroes Nursery Ltd and Mini Heroes Ltd,Powys,2
littlelearnersnursery1@outlook.com,Little Learners- Pantysgallog,Merthyr Tydfil,1
littlemoons.preschool@gmail.com,Little Moons Bilingual Pre School,Caerphilly,1
littlepeopleoakfield@gmail.com,Little people@Oakfield,Cardiff,1
littlerascalspreschool@live.co.uk,Little Rascals Pre-School,Merthyr Tydfil,1
littlescholars@activechildcare.co.uk,Little Scholars Nursery,Wrexham,1
littlescholarsnursery@cardiff.ac.uk,Cardiff University Little Scholars Nursery,Cardiff,1
littlesparks@llangattock.powys.sch.uk,Little Sparks,Powys,1
littlesproutsneath@gmail.com,Little Sprouts Day Nursery,Neath Port Talbot,1
littlestarscaldicot@outlook.com,Little Stars Under 5's,Monmouthshire,1
littlestarsdeesideltd@googlemail.com,Little Stars (Deeside) Ltd,Flintshire,1
littlestarsnurseryebbwfawr@gmail.com,Little Stars Nursery and Little Stars Nursery Ebbw Fawr Ltd,Blaenau Gwent,2
littlesunbeamsplaygroup@hotmail.co.uk,Little Sunbeams Playgroup,Torfaen,1
littlesunflowersplasmadoc@outlook.com,Little Sunflowers - LSCC,Wrexham,1
littleteddyplaygroup@gmail.com,Little Teddy Playgroup,Blaenau Gwent,1
littleunicornsdaycare@gmail.com,Little Unicorns Daycare,Caerphilly,1
liz@the-childrens-room.co.uk,The Childrens Room,Swansea,1
llanarth.cylch@outlook.com,Cylch Meithrin Llanarth,Ceredigion,1
llandaffhousemanager@aol.com,Llandaff House Care Home,Carmarthenshire,1
llandrindod.enquiries@cartrefi.coop,Churchstoke Short Stay,Powys,1
llandudnojunctionplaygroup@gmail.com,Llandudno Junction Playgroup,Conwy,1
llanfair@valeplay.co.uk,Vale Play Limited,Vale of Glamorgan,1
llanfechan@robertshomes.co.uk,Llangollen Fechan,Denbighshire,1
llanfoist@tinytots.biz,Tiny Tots Premier Childcare Services Ltd,Monmouthshire,1
llanfyllinpp@gmail.com,Llanfyllin Preschool Playgroup,Powys,1
llangunnor@poblbach.co.uk,Pobl Bach Early Learning Centre,Carmarthenshire,1
llangunnor@poblbachco.uk,Pobl Bach LTD,Carmarthenshire,1
llangynidrpreschool@outlook.com,Llangynidr Pre-School,Powys,1
llanhall@robertshomes.co.uk,Llanrhaeadr Hall,Denbighshire,1
llanishen@appletreenurseries.co.uk,Appletree Nursery,Cardiff,1
llanoverdaynursery@outlook.com,Llanover Day Nursery and Llanover little ones,Monmouthshire,2
llanyrafonplaygroup@outlook.com,Llanyrafon Nursery,Torfaen,1
lloydj61@hwbcymru.net,"Victoria Gems, Jewels and Treasures",Wrexham,1
llwyndyryshome@aol.com,Llwyndyrys Residential Home,Ceredigion,1
llymcylchcommittee@gmail.com,Cylch yn yr Ysgol,Powys,1
llysfechan123@gmail.com,Llys Fechan Care Home,Carmarthenshire,1
llysgwyn1@btconnect.com,Llys Gwyn House Limited,Swansea,1
llyswencheekymonkeys.trst@gmail.com,Llyswen Cheeky Monkeys Out of School Club,Powys,1
llysytywysog.gm@barchester.com,Llys y Tywysog Care Home,Swansea,1
lollipopsdaycare@hotmail.com,Lollipops daycare,Caerphilly,1
londonhouse@astoncarehomes.co.uk,London House,Swansea,1
lotsoftots@canolfanmaerdy.co.uk,Lots of Tots (Canolfan Maerdy),Neath Port Talbot,1
louise@milsomhouse.co.uk,Milsom House,Vale of Glamorgan,1
louise@oaklandsemail.co.uk,The Oaklands Residential Home,Bridgend,1
louisedwyer@westbourneschool.com,Little Westbourne Nursery,Vale of Glamorgan,1
lucyevans@positifcare.co.uk,Plas Aneurin and Ynys Hywel,Blaenau Gwent,2
lukie@foelfarm.uk,Foel Farm Care Home,Carmarthenshire,1
lullabysdaynursery@gmail.com,Lullaby's Day Nursery and Lullaby's Pre-School,Neath Port Talbot,2
lydia@noblefutureschildcare.co.uk,Ty Hywel,Rhondda Cynon Taf,1
lynda.rosselli@communitylives.org,22 Tal y Wern and 2 other services you run,Neath Port Talbot,3
lyndsey@oldvicaragenursinghome.com,The Old Vicarage Private Nursing Home,Swansea,1
lyrd5@hwbcymru.net,Ysgol Llandrillo yn Rhos daycare,Conwy,1
m.lane@valeofclwydmind.org.uk,Y Gelli,Denbighshire,1
m.pietrus@larche.org.uk,Glasfryn (L'Arche),Powys,1
magnoliahouse1@outlook.com,Magnolia House Residential Home LTD,Wrexham,1
mailbox@acrefair-pri.wrexham.sch.uk,Ysgol Acrefair After School Club (Diddy Dragons),Wrexham,1
mailbox@barkerslane-pri.wrexham.sch.uk,Barker's Lane Wraparound Care Club,Wrexham,1
mailbox@brynteg-pri.wrexham.sch.uk,Brynteg Tigers Out of Hours School Club,Wrexham,1
mailbox@hooson-pri.wrexham.sch.uk,Cylch Meithrin ID Hooson,Wrexham,1
mailbox@maesyllan-pri.wrexham.sch.uk,Little Dragons’ Den,Wrexham,1
mailbox@penrhyn-pri.wrexham.sch.uk,New Broughton Full Day Child Care,Wrexham,1
mailbox@penycae-pri.wrexham.sch.uk,Penycae Childcare,Wrexham,1
mailbox@ywaun-pri.wrexham.sch.uk,Rainbows Afterschool Club,Wrexham,1
maldwyn_nursery@outlook.com,Maldwyn Nursery & Family Centre,Powys,1
malpasroad@tinytots.biz,Tiny Tots Day Care Nursery - Malpas,Newport,1
management@beachcourtcare.co.uk,Beach Court Care Home,Denbighshire,1
management@cantrefcarehome.com,Cantref Care Home,Monmouthshire,1
management@castlegraig.com,Castle Graig Nursing Home,Swansea,1
