Service Name,Service Type,Service Sub-Type,Provision For,Service Address Line 1,Service Address Line 2,Service Town/City,Service Postcode,Local Authority,Maximum No. of Places,Primary telephone number,Primary email address,Website,Provider Name,Provider No. of Approved Services
Hanbury House,Care Home Service,Childrens Home,Personal care for children,,,Cwmbran,,Torfaen,2,07871660252,Kerry.Wade@hanbury-care.com,hanbury-care.com,Hanbury Care LTD,2
Hanmer Playgroup Plus,Childrens Day Care,Full Day Care,,St. Chads V A School,Hanmer,Whitchurch,SY13 3DG,Wrexham,16,01948830238,playgrouphanmer@gmail.com,,Hanmer Playgroup Plus,1
Hanter House,Care Home Service,Childrens Home,Personal care for children,,,Presteigne,,Powys,4,07876791927,mike.ore@cambiangroup.com,cambiangroup.com,Cambian Childcare Ltd ,2
Happitots and Tinytots,Childrens Day Care,Sessional Day Care,,Welshpool Church In Wales Primary School,Salop Road,Welshpool,SY21 7FA,Powys,44,01938538660,office@welshpool.powys.sch.uk,https://welshpoolprimary.weebly.com/,Welshpool Church In Wales Primary School,1
Happy Bees Day Nursery,Childrens Day Care,Full Day Care,,36/37 Fox Street,Treharris,Merthyr Tydfil,CF46 5HE,Merthyr Tydfil,32,01443 709492,happybeesdaynursery@gmail.com,,Happy Bees Day Nursery Limited,1
Happy Days,Childrens Day Care,Full Day Care,,Plas Pentwyn,Castle Road Coedpoeth,Wrexham,LL11 3NU,Wrexham,32,01978722994,happydayscoedpoeth@hotmail.co.uk,,Happy Days Childcare,1
Happy Days Child Care Centre,Childrens Day Care,Full Day Care,,Building 111,Milford Marina,Milford Haven,SA73 3AA,Pembrokeshire,75,01646697575,milford@happydayschildcare.co.uk,www.happydayschildcare.co.uk,Happy Days Child Care (Wales) Ltd,1
Happy Days Childcare Rhyl Ltd,Childrens Day Care,Full Day Care,,115 Russell Road,,Rhyl,LL18 3NR,Denbighshire,104,01745332930,happydayschildcareltd@hotmail.com,,Happy Days Childcare Rhyl Ltd,1
Happy Dayz Nursery Limited,Childrens Day Care,Full Day Care,,The Old Colliers Arms Tavern,Lower Forest Level,Newtown,CF45 4HP,Rhondda Cynon Taf,45,01443474446,happydayznurseryltd@yahoo.co.uk,www.happydayznursery.co.uk,Happy Dayz Nursery Ltd,1
Happy Hedgehogs Childcare,Childrens Day Care,Full Day Care,,Ysgol Mynydd Isa,Bryn Road Bryn-y-baal,Mold,CH7 6RY,Flintshire,150,01352752714,HappyHedgehogs5@hwbcymru.net,,Happy Hedgehogs Childcare,1
Happy Little Dragons,Childrens Day Care,Full Day Care,,Brynna Community Centre,Church Street Brynna,Pontyclun,CF72 9QP,Rhondda Cynon Taf,30,07491331425,admin@happylittledragons.co.uk,www.happylittledragons.co.uk,Happy Little Dragons LTD,1
Harbour House,Care Home Service,Childrens Home,,,,Fishguard,,Pembrokeshire,1,07887781263,mikinda.hawkins@alchemy-care.co.uk,,Alchemy Care in Wales Ltd,1
Harmony House,Care Home Service,Childrens Home,"Learning disability, Mental health",,,Mold,,Flintshire,3,07561702569,kirstie@blisscareservices.co.uk,http://blisscareservices.co.uk/,Bliss Care and Support Services Ltd,1
Harvest Care Home ,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Tiers Cross,,Haverfordwest,SA62 3SB,Pembrokeshire,15,01437765368,Wwcare2005@aol.com,,West Wales Care Ltd.,1
Haulfryn Care Limited,Care Home Service,Adults Without Nursing,,Haulfryn Care Ltd,Cymau,Wrexham,LL11 5ER,Flintshire,23,01978762203,info@haulfryn-care.co.uk,http://www.haulfryn-care.co.uk/,Haulfryn Care Limited,1
Haven House Residential Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",2 Pentre Street,,Cardiff,CF11 6QX,Cardiff,15,02920253176,info@crscare.com,,CRS CARE LIMITED,2
Hawkesbury Pre-school Playgroup,Childrens Day Care,Full Day Care,,Hawkesbury Community Centre,Mill Lane,Buckley,CH7 3HA,Flintshire,19,01244541327,hawkesburyplaygroupbuckley@gmail.com,,Hawkesbury Pre-School Playgroup,1
Hawthorn Court Residential Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Hawthorn Court Care Home,12 Bayswater Road Sketty,Swansea,SA2 9HA,Swansea,24,01792201427,teri.hawthorncourt@mychoicehealthcare.co.uk,www.mychoicehealthcare.co.uk,Hawthorn Court Care Ltd,1
Hayes Healthcare Limited (Trading as Conifers Care Home),Care Home Service,Adults Without Nursing,Personal care for adults,Stryt Las,Ruabon,Wrexham,LL14 6RB,Wrexham,27,01978447470,saqibhashim@hotmail.com,,Hayes Healthcare Limited,2
Hazelhurst Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Learning disability, Mental health",Sully Road,,Penarth,CF64 2TP,Vale of Glamorgan,41,02920704808,info@broadwaycare.co.uk,broadwaycare.wales,HAZELHURST NURSING HOME (PENARTH) LTD,1
Heath House Residential Home,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,4,02920 761425,alex.bartley@basesupport.co.uk,,BASE Support Services Ltd,3
Heatherslade residential home,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Heatherslade Residential Home,1 West Cliff Southgate,Swansea,SA3 2AN,Swansea,20,01792233328,sharon@theheatherslade.co.uk,theheatherslade.co.uk,Heatherslade Hotel Ltd,1
Heathfield Lodge Ltd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Heathfield Lodge,35 Heathfield,Swansea,SA1 6EJ,Swansea,16,01792646840,Heather.Carr@ivolve.care,www.ivolve.care,Heathfield Lodge Limited,1
Heathfields Residential Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",27 Merthyr Mawr Road,,Bridgend,CF31 3NN,Bridgend,22,01656668586,manager@heathfields.uk,www.heathfields.uk,Heathfields Residential Homes Ltd,1
Heddfan,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Heddfan,,Whitland,SA34 0NN,Pembrokeshire,5,01834831411,admin@carninglitrust.org,https://www.carninglitrust.org/,CARNINGLI TRUST (THE),2
Heddfan residential Home,Care Home Service,Adults Without Nursing,"Learning disability, Personal care for adults",Heddfan Residential Home,101a,Merthyr Tydfil,CF48 1TD,Merthyr Tydfil,5,07734105237,Ruthparkertb@gmail.com,heddfancarehome.co.uk,Marilyn Murray,1
Hendy Day Care,Childrens Day Care,Out of School Care,,Hendy County Primary School,Iscoed Road Pontarddulais,Swansea,SA4 0XD,Carmarthenshire,40,,derya_warrington@hotmail.co.uk,,Hendy Day Care,1
Hengoed Court Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Vitrose Ltd,Cefn Hengoed Road Winch Wen,Swansea,SA1 7LQ,Swansea,114,01792 797265,management@hengoedcourt.co.uk,www.hengoedcourt.co.uk,Hengoed Court Care Home Limited,1
Hengoed Park Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Hengoed Park Care Home,Cefn Hengoed Road Winch Wen,Swansea,SA1 7LQ,Swansea,149,01792 797245,management@hengoedcourt.co.uk,www.hengoedcare.co.uk,Hengoed Park (Swansea) Ltd,1
Henllys,Care Home Service,Childrens Home,Personal care for children,,,Colwyn Bay,,Conwy,4,07834353991,timrepin@astarsupportservices.co.uk,www.astarsupportgroup.co.uk,Puffin House Residential Ltd,1
Heol Don Care Home,Care Home Service,Adults With Nursing,Nursing care for adults,Heol Don Care Home,Heol Don,Cardiff,CF14 2AU,Cardiff,78,02920528060,Keyly.scott@bupa.com,www.bupa.co.uk/care-services/care-homes/heol-don-cardiff,Bupa Care Homes (ANS) Limited,1
Here We Grow,Childrens Day Care,Full Day Care,,The College Merthyr Tydfil,,Merthyr Tydfil,CF48 1AR,Merthyr Tydfil,72,01685 726116,a.park@merthyr.ac.uk,www.merthyr.ac.uk,Merthyr Tydfil College Limited,1
Hermitage House Care Home Limited,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",The Hermitage,Salop Road,Welshpool,SY21 7EP,Powys,33,01938 554324,Info@hermitagehome.co.uk,www.hermitagehome.co.uk,Hermitage House Care Home Limited ,1
High Flyers,Childrens Day Care,Sessional Day Care,,Dafen CP School,Lon Yr Ysgol,Llanelli,SA14 8LL,Carmarthenshire,10,07519366007,camautirion@btinternet.com,,First Foundations Nursery Ltd,3
High Pastures Nursing Home,Care Home Service,Adults With Nursing,Nursing care for adults,High Pastures Nursing Home,Pentywyn Road Deganwy,Conwy,LL31 9YT,Conwy,44,01492581402,sarah.zahid@highpastures.co.uk,,High Pastures Nursing Home limited,1
Highfields Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Highfield Nursing Home,Highfields Lane,Blackwood,NP12 1SG,Caerphilly,39,01495225221,mrkhan.highfields@yahoo.co.uk,https://www.highfieldscarehomewales.co.uk/,Hartpark Ltd,1
Highgate Day Nursery,Childrens Day Care,Full Day Care,,Highgate Day Nursery,55 Glanmor Road Uplands,Swansea,SA2 0QA,Swansea,62,01792298080,info@highgatedaynursery.co.uk,www.highgatedaynursery.co.uk,Julie Llewellyn Limited,1
Highgate Day Nursery - Morriston,Childrens Day Care,Full Day Care,,Hospital Drive,Heol Maes Eglwys,Swansea,SA6 6NN,Swansea,124,01792310404,info@highgatedaynursery.co.uk,www.highgatedaynursery.co.uk,Julie Llewellyn Limited,2
Highgrove Residential Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Highgrove,Hawthorn Rise,Haverfordwest,SA61 2BA,Pembrokeshire,30,07976536926,Highgrove.residential@yahoo.com,,Highgrove Residential Care Ltd,1
Highway Playdays Nursery,Childrens Day Care,Full Day Care,,Highway Methodist Community Rooms,The Highway,Deeside,CH5 3DN,Flintshire,19,01244520259,highwayplaydays@gmail.com,,Highway Playdays Nursery,1
Hill Top,Care Home Service,Childrens Home,Personal care for children,,,Llanelli,,Carmarthenshire,4,07976879874,lee@progressus-care.com,,Progressus Care LTD,1
Hill Tots House Nursery,Childrens Day Care,Full Day Care,,Enterprise Centre,Blast Road,Wrexham,LL11 5BT,Wrexham,36,07886278738,nursery.manager@btrt.co.uk,,Brymbo and Tanyfron Regeneration Trust,1
Hill View Care Home Ltd,Care Home Service,Adults Without Nursing,Personal care for adults,Hill View Care Home,Commercial Street,Bargoed,CF81 9BU,Caerphilly,34,01443803493,admin@hillviewcarehome.co.uk,,HILL VIEW CARE HOME LIMITED,1
Hillcroft Residential Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Hillcroft Residential Home,9-11,Cardiff,CF5 2AJ,Cardiff,25,02920563669,hillcroft@farringtoncare.com,farringtoncare.com,Hillcroft Residential Care Home Limited,1
Hillsboro Residential Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Hillsboro Residential Home,Neptune Road,Tywyn,LL36 9ET,Gwynedd,5,01654712170,hillsborocarehome@yahoo.com,,Megan Bartlett,1
Hillside,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",15 Graigwen Place,,Pontypridd,CF37 2HU,Rhondda Cynon Taf,6,01443400885,info@ucancare.com,https://www.ucancare.com,Ucan Care Limited,2
Hillside Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Hillside Carehome,Ffynone Road,Swansea,SA1 6DE,Swansea,58,01792989200,enquiries@jupitercare.com,www.jupitercare.com,Jupiter Care Ltd,1
Hillside Holiday Hub,Childrens Day Care,Out of School Care,,Penygloddfa Cp School,School Lane,Newtown,SY16 2DF,Powys,35,,,,Hillside Holiday Hub Ltd,1
Hillstone House,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",59 Colcot Road,,Barry,CF62 8HL,Vale of Glamorgan,8,01446742281,office@ahcare.co.uk,https://amethysthealthcare.co.uk,Amethyst Healthcare Ltd,4
Hiraddug Childcare,Childrens Day Care,Full Day Care,,Ysgol Hiraddug,Thomas Avenue,Dyserth,LL18 6AN,Denbighshire,75,07500461306,hiraddug.playgroup@gmail.com,www.hiraddugplaygroup.co.uk,Hiraddug Childcare,1
Hiraeth House,Care Home Service,Adults Without Nursing,Mental health,77 Mansel Street,,Swansea,SA1 5TW,Swansea,6,01792921150,hiraethmanager@empowersupport.co.uk,www.empowersupport.co.uk,Empower Support Limited,1
Holland Street,Care Home Service,Childrens Home,Personal care for children,,,Ebbw Vale,,Blaenau Gwent,3,01495 444310,rhodri@marblcare.co.uk,,MARBL Care LTD,1
Hollies Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",The Hollies Care Home,98 Merthyr Road,Pontypridd,CF37 4DG,Rhondda Cynon Taf,44,01443400644,holliesoffice@silvercrestcare.co.uk,www.silvercrestcare.co.uk,Silvercrown Care Homes (Pontypridd) LTD,1
Hollybank Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Hollybank Home Care,Shotton Lane Shotton,Deeside,CH5 1QS,Flintshire,22,01244 811329,enquiries@hollybankcarehome.co.uk,https://www.hollybankcarehome.co.uk/,HOLLYBANK RESIDENTIAL CARE HOME LTD,1
Hollybank Care Home Ltd,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",121 Saxon Street,,Wrexham,LL13 7BB,Wrexham,21,01978350035,sarah.evans@hollybankwrexham.co.uk,,HOLLYBANK CARE HOME LTD,1
Hollylodge Residential Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Hollylodge Residential Home,1 Ton Road,Cwmbran,NP44 7LF,Torfaen,29,01633866326,hollylodge@virgocarehomes.com,www.virgocarehomes.com,Virgo Care Homes Ltd,2
Holt Cool Cats Out Of School Club,Childrens Day Care,Out of School Care,,Holt Cp School,Chapel Street Holt,Wrexham,LL13 9DJ,Wrexham,24,,,,Holt Cool Cats Out of School Club,1
Holt Under Fives Playgroup and Toddlers,Childrens Day Care,Full Day Care,,Chapel Street,,Holt,LL13 9DJ,Wrexham,19,07803045024,holtunderfivesplaygroup@gmail.com,,Holt Under Fives Playgroup & Toddlers,1
Holywell Child Care Ltd,Childrens Day Care,Full Day Care,,Old Bagillt Road,,Holywell,CH6 6JB,Flintshire,45,01352713929,holywellchildcareltd@gmail.com,www.holywellchildcare.co.uk,Holywell Child Care Ltd,1
Home Address Ltd,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",7 Vergam Terrace,,Fishguard,SA65 9DD,Pembrokeshire,6,01348 874056,Amybvergamterrace@hotmail.com,www.vergamterrace.cymru,Home Address Ltd,2
Home From Home Children`s Day Nursery Ltd,Childrens Day Care,Full Day Care,,Bethlehem Chapel,Mount Pleasant,Rhondda,CF39 0DF,Rhondda Cynon Taf,68,07967753308,info@homefromhomechildrensdaynursery.co.uk,www.homefromhomechildrensdaynursery.co.uk,Home From Home Children`s Day Nursery Ltd,1
Honeyhome,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Honeyhome,,Milford Haven,SA73 3UF,Pembrokeshire,5,01646698063,sharonlozz@btinternet.com,www.honeyhome.co.uk,sharon davies,1
Hoots Before and After School Club Ltd,Childrens Day Care,Full Day Care,,Hoots Childcare Centre,Alltwen Primary School,Pontardawe,SA8 3AB,Neath Port Talbot,19,07990 653708,,,Hoots Before and After School Club Ltd,1
Hope After School Club and Holiday Club,Childrens Day Care,Out of School Care,,Ysgol Estyn,Hawarden Road,Wrexham,LL12 9NL,Flintshire,40,01978761819,abcgwastad@gmail.com,hopeholidayclub.co.uk,ABC  Daycare Nursery Ltd,2
Hope Day Nursery,Childrens Day Care,Full Day Care,,Hope Church,Dolfor Road,Newtown,SY16 1JD,Powys,49,01686626255,nursery@hopenewtown.org,,Hope Day Nursery C.I.C,1
Hope Pre-School Playgroup,Childrens Day Care,Sessional Day Care,,Ysgol Estyn Community School,Hawarden Road,Hope,LL12 9NL,Flintshire,25,,,,Hope Pre-School Playgroup,1
Hopscotch House,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,"Blackwood, Caerphilly",,Caerphilly,4,02030511054,Director@pathways-2-the-future.co.uk,https://pathways-2-the-future.co.uk/,Pathway 2 The Future Ltd,1
Hopscotch Nursery,Childrens Day Care,Full Day Care,,Gilwern Primary School,Cae Meldon Gilwern,Abergavenny,NP7 0AY,Monmouthshire,30,07935335663,hopscotchnursery@gmail.com,,Hopscotch Nursery,1
Howells Prep School,Childrens Day Care,Out of School Care,,Howells School,Cardiff Road,Cardiff,CF5 2YD,Cardiff,70,02920562019,nicola.tummon@how.gdst.net,www.howells-cardiff.gdst.net,The Girls' Day School Trust,1
Hub Wildlings,Childrens Day Care,Full Day Care,,Coed Llwynonn,,Llanfairpwllgwyngyll,LL61 6DQ,Isle of Anglesey,18,07482790247,hub-wildlings@outlook.com,,Calon Y Coed Community Hub CIC,1
Hullah Farm,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Hullah Farm,Cefn Road Abenbury,Wrexham,LL13 9TT,Wrexham,10,03309121680,ryansandick@fairparkcare.com,www.fairparkcare.com,Fairpark Care Limited,1
Hwyl a Sbri Meithrinfa Ddydd Ddwy Ieuthog Bilingual Day Nursery,Childrens Day Care,Full Day Care,,17 New Road,,Llanelli,SA15 3DP,Carmarthenshire,32,01554752580,hwylasbri17@yahoo.com,infohwylasbri.com,Hwyl a Sbri Ltd,1
Hyland Residential Home Ltd ,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Hyland,Druid Road,Menai Bridge,LL59 5BY,Isle of Anglesey,5,01248858338,hylands@me.com,hylandresidentialhome.uk,Hyland Residential Home Ltd ,1
Ingleside,Care Home Service,Childrens Home,"Personal care for children, Learning disability, Mental health",,,Colwyn Bay,,Conwy,4,01492 530381,tnhutchinson@rydalpenrhos.com,www.mountcareresidential.com,Mountcare Residential Limited,1
Innovate Trust Respite Service(Short Stay Service),Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",66 Hamilton Street,,Cardiff,CF11 9BQ,Cardiff,4,02920212516,info@innovate-trust.org.uk,https://innovate-trust.org.uk,Innovate Trust Ltd,3
Interplay @ Crug-Glas,Childrens Day Care,Out of School Care,,Ysgol Crug Glas,Croft Street,Swansea,SA1 1QA,Swansea,70,01792561119,info@interplay.org.uk,https://www.interplay.org.uk/interplay-projects,Interplay (Intergrated Play and Leisure),2
Interplay @ The Play Hwb,Childrens Day Care,Out of School Care,,Interplay Intergrated Play & Leisure,7 Llangwm Penlan,Swansea,SA5 7JT,Swansea,25,01792561119,info@interplay.org.uk,,Interplay (Intergrated Play and Leisure),1
Isgoed,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,4,07885397269,manager.isgoed@keys-group.co.uk,,Keys NHCC Limited,1
Jah Jireh Charity Homes (Wales),Care Home Service,Adults Without Nursing,Personal care for adults,Jah Jireh Care Home,Llwydcoed,Aberdare,CF44 0LX,Merthyr Tydfil,51,01685 384444,Merthyr@jah-jireh.org,www.jah-jireh.org,Jah Jireh Charity Homes,1
James House,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Heathcliffe Social Club,93 Heathfield,Swansea,SA1 6EL,Swansea,11,07762193355,jay.bailey@arc-care.co.uk,arc-care.co.uk,Abertawe Residential Care Ltd,3
James Street Bungalow,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",76 James Street,Markham,Blackwood,NP12 0QP,Caerphilly,3,07388 445902,sgriffiths@prospersupport.co.uk,,PROSPER CARE & SUPPORT LIMITED,3
Jeffreyston Playstation,Childrens Day Care,Full Day Care,,St Oswalds Community Centre,The Rectory Field,Kilgetty,SA68 0SG,Pembrokeshire,16,01646 651530,jeffreystonplay@gmail.com,,Jeffreyston Playstation,1
Jellitotz Day Nursery,Childrens Day Care,Sessional Day Care,,Morfa Primary School,Olive Street,Llanelli,SA15 2AP,Carmarthenshire,20,,,,Connecting Youth Children's Adults,1
Jigsaw Afterschool CIC,Childrens Day Care,Out of School Care,,Sandycroft Cp School,Leaches Lane Mancot,Deeside,CH5 2EH,Flintshire,40,01244532083,,https://www.ysgolsandycroftschool.co.uk/jigsaw-after-school-cic/,Jigsaw Afterschool CIC,1
Jigsaw Pre School Playgroup Ltd,Childrens Day Care,Full Day Care,,Bryn Deva School,Linden Avenue,Connah`s Quay,CH5 4SN,Flintshire,50,01244830080,,,Jigsaw Pre School Playgroup Ltd,1
Jigsaw Preschool,Childrens Day Care,Full Day Care,,New Life Church,St. Johns Offices Fiveways,Llandrindod Wells,LD1 5ES,Powys,40,01597822592,jigsawpreschool@gmail.com,,Life Link Llandrindod,1
Jigsaw Wrexham Ltd,Childrens Day Care,Full Day Care,,Black Lane Cp School,Long Lane Pentre Broughton,Wrexham,LL11 6BT,Wrexham,19,07805882428,jigsawwrexham@yahoo.com,,Jigsaw Wrexham LTD,1
Joio Casllwchwr,Childrens Day Care,Full Day Care,,Casllwchwr Primary School,Castle Street Loughor,Swansea,SA4 6TU,Swansea,60,,joiocasllwchwr@gmail.com,,Meithrinfa Joio Day Nursery Ltd,2
Jubilee Playgroup,Childrens Day Care,Sessional Day Care,,Jubilee Hall,Smithies Avenue,Penarth,CF64 5SS,Vale of Glamorgan,32,07521820232,jubileeplaygroup1@icloud.com,www.jubileeplaygroup.co.uk,Jubilee Playgroup,1
Jumping Jacks,Childrens Day Care,Out of School Care,,Ysgol Rhiwabon,Pont Adam Ruabon,Wrexham,LL14 6BT,Wrexham,32,07543455965,Jumpingjacks2024@outlook.com,,Jumping Jacks,1
Kate's Day Nursery Ltd,Childrens Day Care,Full Day Care,,115 Mold Road,Mynydd Isa,Mold,CH7 6TG,Flintshire,37,01352751195,admin@katesdaynursery.com,,Kate's Day Nursery Ltd,1
Kellis,Care Home Service,Adults Without Nursing,Learning disability,Berllanlwyd Street,,Hengoed,CF82 8DE,Caerphilly,3,01443 821164,shanepocock@partnershipofcare.co.uk,www.partnershipofcare.co.uk,Partnership of Care Ltd,3
Kelsterton under 5’s,Childrens Day Care,Full Day Care,,Golftyn Cp School,York Road Connah's Quay,Deeside,CH5 4XA,Flintshire,30,07590288566,kdix337@btinternet.com,,Kelsterton Under 5's,1
Kerry Playgroup,Childrens Day Care,Full Day Care,,St Michael's School,Kerry,Newtown,SY16 4NU,Powys,15,07766450123,kerryplaygroup@gmail.com,,Kerry Playgroup,1
Kiddies World,Childrens Day Care,Full Day Care,,Clwyd County Council,Acrefair County Primary & Junior School,Wrexham,LL14 3SH,Wrexham,40,01978810242,kiddiesworld7@gmail.com,,Kiddies World playgroup,1
Kidz Den Afterschool Club,Childrens Day Care,Out of School Care,,Little Lambs Day Nursery,21 Perrott Street,Treharris,CF46 5ER,Merthyr Tydfil,30,07496774813,kidzden1@hotmail.co.uk,,Kidz Den Afterschool Club,1
Kingsland House Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",69 Kingsland Crescent,,Barry,CF63 4JS,Vale of Glamorgan,5,01446627191,admin@forwardwalesltd.co.uk,,Forward (Wales) Ltd,1
Kinmel Lodge,Care Home Service,Adults Without Nursing,Personal care for adults,Kinmel Lodge Residential Home,2 Betws Avenue,Rhyl,LL18 5BN,Conwy,28,01745337886,office@kinmel-lodge.co.uk,www.kinmel-lodge.co.uk,Kinmel Lodge Limited,1
Kinnerton Little Acorns,Childrens Day Care,Full Day Care,,Ysgol Derwen,Main Road,Higher Kinnerton,CH4 9AJ,Flintshire,40,07594265652,Office@KinnertonLittleAcorns.co.uk,www.kinnertonlittleacorns.co.uk,Kinnerton Little Acorns,1
Ladybirds at Llanvihangel Limited,Childrens Day Care,Full Day Care,,c/o Llanvihangel Crucorney Primary School,,Abergavenny,NP7 8DL,Monmouthshire,20,01873890610,ladybirds.llanvihangel@hotmail.co.uk,,Ladybirds at Llanvihangel Ltd,2
Ladybirds at OLSM,Childrens Day Care,Full Day Care,,Our Lady and St Michaels Roman Catholic Primary School,14 Pen Y Pound,Abergavenny,NP7 5UD,Monmouthshire,38,07903582101,ladybirds.olsm@hotmail.com,,Ladybirds at Llanvihangel Ltd,1
Ladybirds Childcare,Childrens Day Care,Full Day Care,,Ladybirds Childcare,Elm Community Church,Bargoed,CF81 9RG,Caerphilly,19,07460249144,Ladybirdschildcare123@gmail.com,https://www.facebook.com/share/12FDnzrJw7Z/,Ladybirds Childcare Ltd,1
Ladybirds Day Nursery Limited,Childrens Day Care,Full Day Care,,Radyr Court,Rachel Close,Cardiff,CF5 2SH,Cardiff,120,02920564445,info@ladybirds-daynursery.co.uk,,Ladybirds Day Nursery Limited,1
Lafs Club,Childrens Day Care,Out of School Care,,Lixwm Primary School,Lixwm,Holywell,CH8 8NQ,Flintshire,32,07908898982,,,Lafs Club,1
Lakeside Day Nursery,Childrens Day Care,Full Day Care,,Lakeside Day Nursery,Cormorant House,Swansea,SA6 8RH,Swansea,137,01792781010,lakesidedaynursery@btconnect.com,www.lakesidedaynursery.com,Lakeside Day Nursery Limited,1
Lakeside House Nursing Home,Care Home Service,Adults With Nursing,Nursing care for adults,Lakeside House Nursing Home,37 Wedal Road,Cardiff,CF14 3QX,Cardiff,69,02920628625,hello@lakesidecare.co.uk,www.lakesidecare.co.uk,Lakeside Homes Limited,1
Lamphey Playgroup,Childrens Day Care,Full Day Care,,Lamphey Primary School,Lamphey,Pembroke,SA71 5NW,Pembrokeshire,19,01646672249,head.lamphey@pembrokeshire.gov.uk,https://www.lampheyschool.co.uk/,The Governing Body of Lamphey Primary School,1
Langton Hall Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Langton Hall Residential Home,Dwrbach,Fishguard,SA65 9RH,Pembrokeshire,24,01348873238,kellie@sunsetwest.co.uk,,Mavalon Care Ltd,1
Laurel Park,Care Home Service,Childrens Home,Personal care for children,,,Wrexham,,Wrexham,3,07795677251,KimLeigh@Aspris.com,https://www.aspris.com,ASPRIS HOMES LIMITED,1
Laybourne House,Care Home Service,Childrens Home,Personal care for children,,,Cwmbran,,Torfaen,1,01633967106,laybourne@nurt.co.uk,www.nurt.co.uk,Nurture Cymru Gofal Ltd,2
LCDP Explorers,Childrens Day Care,Full Day Care,,23a Bridgend Road,,Pontyclun,CF72 9RD,Rhondda Cynon Taf,40,01443 229723,info@lcdp.org.uk,www.lcdp.org.uk,Llanharan Community Development Project Ltd,1
Leadon Court Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Leadon Court Nursing Home,Leadon Court,Cwmbran,NP44 5TZ,Torfaen,34,01633877492,leadoncourt@summerhillgroup.co.uk,,Clearwater Care (Leadon Court) Limited,1
Leeswood Under Fives Playgroup,Childrens Day Care,Full Day Care,,Ysgol Derwenfa Cp School,Queen Street Leeswood,Mold,CH7 4RQ,Flintshire,19,07851975198,,,Leeswood Under Fives Playgroup,1
Les Tous Childcare,Childrens Day Care,Full Day Care,,29 Park Road,,Barry,CF62 6NX,Vale of Glamorgan,19,07841788450,lestousgrands@gmail.com,www.lestousgrands.com,LES TOUS GRANDS Ltd,1
Lewis Martin Court,Care Home Service,Adults With Nursing,"Personal care for adults, Nursing care for adults",Unit 3 Lewis Martin Court,,Cardiff,CF11 8AW,Cardiff,17,02920232203,sarah.davies@salutemcare.com,https://www.salutemcareandeducation.co.uk/service/lewis-martin-court/,Salutem LD BidCo IV Limited,2
Lexham Green Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Lexham Green Rest Home,50 Brunswick Road,Buckley,CH7 2EP,Flintshire,28,01244547019,lexhamgreen@gmail.com,lexhamgreen.uk,Lexham Green Limited,1
Li'l Angels Day Nursery and Pre school,Childrens Day Care,Full Day Care,,Lil Angels,Rowleys Park Evans Way Shotton,Deeside,CH5 1QJ,Flintshire,50,01244811880,lilangelsdaynursery@hotmail.com,,Li'l Angels day nursery and pre school limited,1
